Nation,Sail Number,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Position
GBR,8736,I Pinnell,N Powell,,1,1,1,1,1,1,1,DNS,7,1
GER,8746,S Bohm,G Roos,,2,2,OCS,2,2,2,2,1,13,2
GBR,8556,T Scutcher,R Tew,,3,DNS,3,4,5,3,4,2,24,3
GER,8580,F Acuterberg,A Achterberg,,4,3,4,3,3,4,8,DNS,29,4
GER,8649,R Roos,G Linnemann,,5,7,2,6,4,8,6,4,34,5
SUI,8426,M Piuss,Y Duerr,,9,4,9,DNF,11,7,3,3,46,6
BEL,8536,B Meynendonckx,C Lehouck,,6,6,6,5,7,11,9,8,47,7
GER,8721,M Seikel,N Becker,,9,9,8,8,6,5,7,7,48,8
BEL,8536,E Van Hemeldonck,J Van Hemeldonck,,10,10,5,7,10,9,11,6,57,9
GER,8671,M Muhlbauer,A Stenger,,8,8,7,10,9,10,10,DNS,62,10
GBR,8460,M Goult,G Russell,,DNS,DNS,DNF,DNS,8,6,5,5,75,11
BEL,8553,P Gorremans,Gorremans,,DNS,DNS,11,11,12,12,12,9,84,12
GER,8686,N Volckner,L Dehne,,DNF,5,10,9,DNS,DNS,DNS,DNS,92,13
GBR,8532,T Clayton,D Hyatt,,DNF,DNF,DNF,DNF,13,13,DNF,10,104,14
BEL,7992,K Willems,G Grossen,,11,DNF,DNS,DNS,DNS,DNS,DNS,DNS,113,15
BEL,8130,L Moentack,C Mowtack,,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,119,16
