Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GBR,5384,John Loveday,Lewis Dann,,1,1,1,2,1,10,,1
FRA,5464,Jean-Marie Danielou,Francois Richard,,3,10,5,DSQ,2,1,,2
FRA,5339,Marcel Buffet,Thierry Moreau-Defarges,,4,DSQ,3,5,12,5,,3
GBR,5234,Larry Marks,L.Lippe,,2,13,11,18,5,3,,4
GBR,5099,Peter Colclough,Phil Brown,,12,5,4,8,4,15,,5
GBR,5089,Peter White,John Davies,,6,6,12,3,15,DNF,,6
FRA,4747,Yves Pajot,Eric Fontaine,,16,16,6,1,22,7,,7
DEN,5443,Jens Christensen,Jes Thomsen,,9,15,DSQ,4,7,14,,8
USA,,Jon Andron,McNeil,,5,8,18,20,9,11,,9
USA,,Bill Pevear,D.Dyson,,28,9,8,22,3,22,,10
AUS,,G.Kyrwood,W. Kirwood,,,,,,,,,11
USA,,H. Jotz,Heckman,,,,,,,,,12
GBR,,John Locke,Pusinelli,,,,,,,,,13
FRA,,Bruno Levesque,Patrick Ricci,,,,,,,,,14
USA,,Bill Salvo,Mc Clintock,,,,,,,,,15
GBR,,Colin D. Me Kenzie,Maconie,,,,,,,,,16
GBR,,Derek Farrant,M. Plaits,,,,,,,,,17
USA,,D. Zanks,Robeson,,,,,,,,,18
USA,,Ethan Bixby,Larry Tuttle,,,,,,,,,19
GBR,,R. Parker,Felgate,,,,,,,,,20
GBR,,Phillip Milanes,Hartje,,,,,,,,,21
AUS,,V. Hiles,T. Kyrwood,,,,,,,,,22
GBR,,Hugh Bourn,Johns,,,,,,,,,23
GER,,Kay Ewaldsen,Ralph Specher,,,,,,,,,24
USA,,Bill Pattisson,Hill,,,,,,,,,25
SWE,,Karl Nillsson,Nilausen ,,,,,,,,,26
USA,,Sally Lindsay,M. Lindsay,,,,,,,,,27
USA,,Jim Mc Elveen,Lloyd Betts ,,,,,,,,,28
USA,,Donald Heath,R. Goodson,,,,,,,,,29
GBR,,James A. Fischer,Findlay,,,,,,,,,30
USA,,B.Healy,Sitty,,,,,,,,,31
HNK,,Ti. Parsons,R/Le-King,,,,,,,,,32
FRA,,Jerome Langlois,Philippe Serane ,,,,,,,,,33
AUS,,Robert Jones,E.Adriares,,,,,,,,,34
DEN,,Hans Westh,Nic Thielsen ,,,,,,,,,35
USA,,A.Dennis Surtees,Bertrand,,,,,,,,,36
USA,,J. Kent Glasie,Blasie,,,,,,,,,37
GBR,,Rob. Napier,Herring,,,,,,,,,38
CAN,,John Windor,Dekat,,,,,,,,,39
GBR,,Dove White,N. Chapman,,,,,,,,,40
FRA,,Dominique Savelli,Patrick Conard,,,,,,,,,41
CAN,,Richard Storrer,Manson,,,,,,,,,42
FRA,,Gilbert Vinches,Francois Padovani,,,,,,,,,43
FRA,,Leon Brillouet,Jean-Charles Gillet,,,,,,,,,44
GBR,,Jerkins,Jones,,,,,,,,,45
GER,,Vme Bremenkamp,Petersen ,,,,,,,,,46
GER,,A. Landeroth,Ellerberg ,,,,,,,,,47
FRA,,Philippe Buck,Gilles Buck ,,,,,,,,,48
GER,,H. G.  Petersohn,W.Gross ,,,,,,,,,49
GBR,,M. Evans,Wakeford,,,,,,,,,50
KEN,,R. Dyer,M/Airm,,,,,,,,,51
BER,,D. Skinner,B. Lightbourn,,,,,,,,,52
CAN,,Bob Whithouse,Withold Gessing ,,,,,,,,,53
KEN,,J.M. King,H. Armstrong ,,,,,,,,,54
CAN,,Peter Wood,Mc Neill,,,,,,,,,55
GBR,,M. Hattemore,Payne ,,,,,,,,,56
FRA,,Bernard Moret,Rene Morch ,,,,,,,,,57
CAN,,Mc Cullen,Boyle,,,,,,,,,58
FRA,,Antoine Levesoue,Alain Lallema,,,,,,,,,59
BER,,C.West,M. Lightbourn,,,,,,,,,60
NZL,,R.G.Krips,Willocks,,,,,,,,,61
BER,,D.Skinner,J. Harris,,,,,,,,,62
GER,,Wolfgang Sedat,Schneidt,,,,,,,,,63
USA,,Ted Mc Caffrat,Farrell,,,,,,,,,64
RSA,,Wyatt,Carvaho,,,,,,,,,65
BER,,B. Price,S.Floyd,,,,,,,,,66
RSA,,Cheesy,Don Ownen,,,,,,,,,67
FRA,,Dobeyn,Alain Sage ,,,,,,,,,68
USA,,Richard T. White,Knecht ,,,,,,,,,69
BER,,B. Shadbrutt,J. Burland,,,,,,,,,70
