Country,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Place
SUI,8016,Duvoisin,Philippe Jacot,,,,,,1,5,,,1
SUI,8345,Markus Bohren,Beat Waser,,,,1,1,,4,,,2
SUI,8346,Kyburz,Hermann,,,,,,,,,,3
SUI,8113,Christoph Renker,Best Wernli,,1,,,,,,,,4
FRA,8363,Francis Doerenbecher,Gérard Guthman,,6,,,,,,,,5
SUI,7827,Roger Oswald,Christian Wiskemann,,,,,,,,,,6
SUI,7953,Stephan Rueger,Peter Seitz,,,,,,,,,,7
SUI,8102,Oldani,Fishlin,,,,,,,,,,8
SUI,7988,Jaeggi,Zubler,,,,,,,,,,9
SUI,8101,Urs Scherrer,Dugster,,,,,,,,,,10
FRA,8193,Ravonel,Bottlaendr,,7,,,,,,,,11
SUI,8003,Werner Müller,Huck,,,,,,,,,,12
SUI,7889,Nydegger,Nydegger,,,,,,,,,,13
SUI,7921,Seger,Brun,,,,,,,,,,14
SUI,8170,Gericke,Ebbecke,,,,,,,,,,15
SUI,7994,Raebsamen,Geering,,,,,,,,,,16
SUI,7975,Haitz,Schultheiss,,,,,,,,,,17
SUI,7960,René Betschen,Senn,,,,,,,,,,18
SUI,8106,Urs Marti,Martin Bäbler,,,,,,,,,,19
SUI,8100,Aebischer,Scheidegge,,,,,,,,,,20
SUI,8374,Ineichen,Schiess,,,,,,,,,,21
SUI,7118,Eichenberger,Zubler,,,,,,,,,,22
FRA,8336,Paquotte,Ehrhardt,,DSQ,,,,,,,,23
SUI,8096,Alain Brasey,Christian Maegele,,,,,,,,,,24
SUI,8079,Gruerig,Keppeler,,,,,,,,,,25
SUI,7330,Jundt,Ramseier,,,,,,,,,,26
SUI,,Hunziker,Graf,,,,,,,,,,27
SUI,8097,Culet,Gervaz,,,,,,,,,,28
SUI,7632,Hediger,Gerber,,,,,,,,,,29
SUI,8099,Aubort,Aubort,,,,,,,,,,30
SUI,7948,Deriaz,Tavel,,,,,,,,,,31
SUI,8151,Stern,Habegger,,,,,,,,,,32
FRA,8008,Dousselin,Trumpf,,DSQ,,,,,,,,33
SUI,7558,Roth,Roth,,,,,,,,,,34
SUI,8300,Schiecsser,Hollinger,,,,,,,,,,35
SUI,7051,Gafner,Schlaeppi,,,,,,,,,,36
