,Vene:,Venekunta:,Lähdöt:,Club,Race 1,Race 2,Race 3,Points,Sijoitus:
FIN,7824,Ikonen,Nurmela,,3,1,1,5,1
FIN,8056,Raimo Raita,Antti Raita,,1,2,2,5,2
FIN,8582,Arno Parviainen,Laurin Parviainen,,2,3,3,8,3
FIN,8320,Grabowski,Jore,,4,4,4,12,4
