NATION,NUMBER,Helm,Crew,,R1,R2,R3,R4,R5,R6,R7,R8,POINTS,NET,POSITION
USA,8610,Nick Trotman,Mike Mills,,5,-6,1,1,2,--,--,--,40,26,1
USA,7771,Howard Hamlin,Michael Martin,,8,8,3,-19,5,--,--,--,46,27,2
GBR,8704,Ian Barker,Daniel Cripps,,2,-15,6,3,1,--,--,--,144,31,3
USA,7318,Mike Zani,Peter Alarie,,4,-21,7,8,4,--,--,--,51,30,4
GBR,8677,Ian Pinnell,Nicholas Powell,,11,2,5,10,-18,--,--,--,59,42,5
GBR,8552,Mark Upton-Brown,Ian Mitchell,,1,13,2,-18,3,--,--,--,170,57,6
USA,7093,Ethan Bixby,Cameron Lewis,,14,3,-29,2,13,--,--,--,113,68,7
GBR,8685,Jim Hunt,Nick Beloe,,16,7,4,6,-19,--,--,--,86,63,8
GBR,8481,Chips Howarth,Bill Masterman,,6,-50,11,9,15,--,--,--,111,61,9
FRA,8702,Philippe Boite,Jean-Luc Muzellec,,-15,10,9,4,9,--,--,--,92,64,10
SWE,8232,Ebbe Rosén,Olle Wenrup,,7,16,8,17,(DNF),--,--,--,190,77,11
DEN,8620,Jan Saugmann,Morten Ramsbæk,,9,-23,15,15,10,--,--,--,102,79,12
USA,8629,Tyler Moore,Scott Ikle,,19,14,17,16,-21,--,--,--,107,87,13
AUS,8524,Leslie Nathonson,Ian Gregg,,3,44,12,(DNS),14,--,--,--,206,93,14
GBR,8556,Richard Tew,John Ironmonger,,10,9,22,-24,16,--,--,--,137,95,15
USA,7201,Daniel Thompson,Andrew Zinn,,17,-26,14,12,24,--,--,--,127,101,16
GBR,8672,Mike Holmes,Paul Young,,12,-58,26,5,11,--,--,--,165,107,17
GBR,8679,David Smithwhite,Neil Fulcher,,13,-68,10,26,8,--,--,--,178,110,18
CAN,8264,Jeff Boyd,Martin Ten Hove,,29,20,21,14,-35,--,--,--,146,113,19
USA,8627,Tim Collins,Bill Smith,,-45,1,18,22,36,--,--,--,169,124,20
USA,8680,Bruce Edwards,David Shelton,,23,19,20,-29,17,--,--,--,166,118,21
USA,8643,Barney Harris,Jesse Falsone,,33,12,40,13,-56,--,--,--,182,128,22
GER,8657,Martin Görge,Rainer Görge,,18,24,-34,25,23,--,--,--,168,168,23
GER,8550,Dietrich Scheder-Bieschin,Johan Arvedson,,32,18,27,40,-53,--,--,--,194,143,24
DEN,8622,Tom Bøjland,Anders Friis,,28,5,23,-35,27,--,--,--,180,145,25
AUS,8644,David Porter,Peter Holden,,21,29,16,-34,22,--,--,--,193,147,26
GBR,8676,Clive Robinson,Gary Cawthorn,,26,-49,24,21,39,--,--,--,197,160,27
GBR,8640,Vernon Ralston,Simon Spratt,,22,-89,13,42,6,--,--,--,246,204,28
USA,8263,Alexander Meller,Leslie Crane,,-43,17,37,7,26,--,--,--,200,157,29
USA,8191,Macy Nelson,Geoff Ewenson,,-38,22,36,20,33,--,--,--,196,158,30
USA,7773,Nick Adamson,Ben Benjamin,,-46,11,31,11,28,--,--,--,245,169,31
USA,8083,Neal Fowler,Dave Dyson,,34,4,-42,37,30,--,--,--,208,164,32
GER,8669,Tim Boger,Philip Christiani,,25,30,28,-46,12,--,--,--,210,164,33
AUS,8559,Malcolm Higgins,Pip Pearson,,24,38,-41,39,37,--,--,--,227,186,34
GBR,8460,Martin Goult,Gordon Russell,,41,28,19,28,-48,--,--,--,247,193,35
CAN,8681,Robin Brown,Richard Mundell,,20,-55,25,23,32,--,--,--,252,197,36
GBR,8378,Martin Hodgson,Paul Beasley,,27,-60,30,27,29,--,--,--,261,201,37
USA,8012,Henry Amthor,Douglas Amthor,,40,27,60,36,(RET),--,--,--,318,205,38
GER,8542,Tom Swift,Klaus Stammerjohann,,30,40,39,-41,25,--,--,--,319,206,39
USA,7873,Ellen Ablow,Alan Norman,,42,45,33,30,-50,--,--,--,264,219,40
GBR,8701,Paul Lovesy,Andy Williams,,44,-79,35,44,7,--,--,--,301,222,41
AUS,7667,Scott Olsen,Mark Stowell,,49,33,45,-57,51,--,--,--,282,225,42
USA,7092,Kenny Elliot,W Allen Kilgore,,36,-48,48,31,38,--,--,--,273,225,43
SWE,8619,Mikael Ahrbom,Claes Thurell,,39,-74,38,63,31,--,--,--,334,260,44
GBR,8381,Steve Adams,Andrew Wood,,53,35,-54,48,42,--,--,--,321,268,45
AUS,8603,Ian Dunn,John Fry,,58,-59,43,43,20,--,--,--,330,271,46
USA,8645,Jim Englert,Thad Melton,,56,25,46,38,(RET),--,--,--,388,275,47
USA,7096,Bryan Largay,Matt Sanders,,-67,37,53,32,63,--,--,--,348,280,48
USA,7358,Michael Breault,Harry Mattison,,62,-73,44,58,47,--,--,--,354,281,49
GBR,8429,Robert Napier,Kimball Morrison,,31,-70,32,60,41,--,--,--,354,283,50
GER,8642,Stefan Schollmayer,Frisco Sanguind,,-57,47,56,45,43,--,--,--,400,287,51
DEN,8551,Jacob Ernst,Jesper Ernst,,47,46,50,-59,46,--,--,--,360,293,52
USA,8576,Terry Neff,Bob Noyes,,63,53,-72,61,45,--,--,--,366,294,53
GER,8671,Markus Mechlbauer,Angela Stenger,,-76,34,67,55,55,--,--,--,375,299,54
CAN,8442,Hugh Morrin,Michael Hoffman,,51,32,-59,50,52,--,--,--,361,299,55
USA,8059,Tim Wadlow,Mike Welch,,50,31,49,47,(RET),--,--,--,413,300,56
CAN,8060,Adam Bookman,Adam Schell,,48,36,64,64,-73,--,--,--,386,315,57
USA,8689,Nicholas Grey,Gerard Kivney,,61,67,66,-69,34,--,--,--,404,335,58
USA,8194,Tom Kivney,Wolf Chamberlain,,60,61,-68,52,57,--,--,--,411,339,59
AUS,8604,Ian Burford,Dave Christie,,(DNF),DNF,58,33,40,--,--,--,464,351,60
USA,7346,R.Latene Montgue,John Zakaib,,74,-83,83,49,49,--,--,--,433,350,61
CAN,7095,John Hayley,Ian Plumbley,,-75,41,71,65,75,--,--,--,429,354,62
USA,6821,William Pevear,Jan Aase,,37,-84,51,68,44,--,--,--,472,359,63
USA,8190,Larry Rosenfield,Ted Moore,,54,56,52,-81,60,--,--,--,450,364,64
GBR,8583,Chris Delves,Dave Hughes,,59,43,70,(DNF),54,--,--,--,488,375,65
USA,8024,David Chatham,Matt Mcqueen,,-77,76,74,53,62,--,--,--,453,376,66
GBR,8510,Martin Wedge,Peter Burwood,,-86,66,55,66,65,--,--,--,463,377,67
USA,8085,Rene De La Rie ,Alan Freedman,,-79,51,77,56,71,--,--,--,466,387,68
GBR,8678,Jim Berry,David Spragg,,69,72,61,-76,59,--,--,--,468,390,69
DEN,8561,Peter Moller,Martin Thombs,,55,-86,62,67,69,--,--,--,476,390,70
GER,8634,Joerg Thumann,Oliver Stieglitz,,66,42,-79,74,58,--,--,--,504,391,71
CAN,7959,Scott Salter,Per Jacobsen,,70,71,73,54,(DNF),--,--,--,509,396,72
CAN,8410,Clarissa Bush,Chris Gillies,,84,39,57,(DNS),DNS,--,--,--,516,403,73
FRA,8455,Marcel Buffet,Damien Trouillet,,72,62,93,75,(DNS),--,--,--,511,398,74
GBR,8526,Tim Bird,Arthur George,,71,69,63,51,(DNS),--,--,--,527,414,75
AUS,8668,Matthew Hansen,Mike Navarro,,64,-85,78,62,67,--,--,--,500,415,76
USA,7876,Brandon Charif,Hans Gode,,(DNF),54,84,70,64,--,--,--,541,428,77
GER,8692,Heiner Hirthe,Nicolai Völckner,,65,-78,76,77,68,--,--,--,548,435,78
GBR,8635,Simon Lake,Suzanne Mcdermott,,52,77,65,73,(DNS),--,--,--,558,445,79
CAN,8360,Pierre Saint-Cyr,Norman Saint-Cyr,,82,82,-96,78,61,--,--,--,536,440,80
USA,8438,John Wyles,Chris Gorton,,-81,65,81,71,76,--,--,--,606,493,81
CAN,7605,Renka Gesing,Adam Gesing,,68,(DNF),86,72,72,--,--,--,608,495,82
USA,8641,Barry Kuehl,Frank Thompson,,78,-91,75,80,70,--,--,--,565,469,83
USA,8311,Chris Yindra,Mark Mccarthy,,83,88,80,83,(DNS),--,--,--,589,476,84
USA,8813,David Fagen,Andrew Cole,,93,52,87,86,(DNS),--,--,--,593,480,85
GBR,8474,Chris Thorne,Andy Tyas,,73,(DNF),69,93,66,--,--,--,608,495,86
GBR,8467,Chris Romans,Brenda Romans,,80,90,82,85,(DNS),--,--,--,608,495,87
CAN,7150,Ian Torrie,Winston Cummins,,89,64,89,(RET),DNS,--,--,--,617,504,88
USA,8600,Ki Kaiser,John Badtke,,87,81,91,82,(DNS),--,--,--,611,498,89
USA,7685,Graham Alexander,Brian Richmond,,96,57,97,79,(DNS),--,--,--,645,532,90
USA,8624,David Stetson,Michael Agrell,,91,75,85,84,(DNS),--,--,--,621,621,91
AUS,8557,Dean Williams,Darren Nicholson,,35,(DNF),47,DNS,DNS,--,--,--,647,534,92
USA,7877,Steve Anderes,Bruce Fleming,,90,80,95,87,(DNS),--,--,--,637,524,93
USA,6987,Lauren Abramson,Tom O'toole,,97,63,101,(DNS),DNS,--,--,--,657,544,94
CAN,8525,Victor Stopp,Julian Pearson,,95,(DNF),88,DNS,74,--,--,--,664,551,95
GBR,8591,David Bell,Martin Hood,,85,87,90,88,(DNS),--,--,--,658,545,96
GBR,8532,Tom Clayton,Dennis Hyatt,,94,93,94,89,(DNS),--,--,--,667,554,97
GBR,8435,Patrick Mcgale,Colin Rawlings,,92,(DNF),92,92,DNS,--,--,--,677,564,98
FRA,8693,Gilles Carvallo,Claire Carvallo,,88,92,105,91,(DNS),--,--,--,678,565,99
CAN,7796,Mark Ashby,David Adams,,100,94,99,90,(DNS),--,--,--,676,563,100
USA,7613,Joe Keating,Phil Ryan,,98,95,98,(DNF),RET,--,--,--,698,585,101
USA,6230,Paul Von Grey ,Paul Shipley,,(DNF),98,100,94,DNS,--,--,--,710,597,102
GBR,8237,Richard Rowe,Robin Tetly,,101,97,(DNF),95,DNS,--,--,--,711,598,103
USA,7791,Richard Peck,Dick Hamilton,,99,96,106,(DNS),DNS,--,--,--,713,600,104
USA,8018,Stevios Papadakis,Dustin Romey,,(DNF),DNF,DNF,DNS,DNS,--,--,--,791,678,105
USA,8698,Collin Linehan,Paul Muus,,(DNF),DNF,DNF,DNS,DNS,--,--,--,791,678,105
