Nat Helm Name,Crew Name,Division,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Total,Boat,Nett,Rank
USA 9106,Mike Martin,Adam Lowry,,10.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,(90.0 DNC),(90.0 DNC),204.0,Mike's Boat,24.0,1
USA 9072,Mike Holt,Carl Smit,,4.0,(23.0),3.0,4.0,4.0,8.0,(12.0),5.0,7.0,3.0,73.0,IO Integration,38.0,2
USA 9004,Parker Shinn,Eric Anderson,,8.0,(90.0 DNF),8.0,5.0,8.0,5.0,1.0,3.0,4.0,(11.0),143.0,N = 1,42.0,3
AUS 8801,Peter Nicholas,Luke Payne,,(25.0),9.0,(20.0),1.0,2.0,6.0,20.0,6.0,3.0,1.0,93.0,The Fish,48.0,4
USA 9160,Howard Hamlin,Jeff Nelson,Master Helm,(15.0),6.0,4.0,(30.0),5.0,4.0,7.0,9.0,10.0,5.0,95.0,Nine One Six Oh,50.0,5
GER 8992,Wolfgang Hunger,Holger Jess,Master Crew,5.0,5.0,(14.0),(16.0),7.0,12.0,8.0,2.0,9.0,4.0,82.0,n.n.,52.0,6
GBR 9190,Ian Pinnell,Reeve Dunn,,3.0,3.0,(21.0),13.0,13.0,3.0,6.0,8.0,6.0,(14.0),90.0,Easy Tiger,55.0,7
GER 9198,Julian Stueckl,Johannes Tellen,,2.0,7.0,(29.0),14.0,6.0,(30.0),2.0,15.0,21.0,2.0,128.0,TBA,69.0,8
AUS 9059,Christopher Paterson,Thor Schoenhoff,,(16.0),(33.0),11.0,8.0,11.0,13.0,5.0,12.0,8.0,7.0,124.0,Frankenjess,75.0,9
GBR 9203,Nathan Batchelor,Harry Briddon,,(26.0),17.0,10.0,(25.0),9.0,2.0,9.0,25.0,12.0,8.0,143.0,Ovington Boats,92.0,10
AUS 8946,Sandy Higgins,Paul Marsh,,(22.0),13.0,9.0,6.0,20.0,9.0,13.0,13.0,(30.0),10.0,145.0,Hawaii five o,93.0,11
GER 9121,Jan-Philipp Hofmann,Felix Brockerhoff,,1.0,4.0,(24.0),12.0,14.0,(39.0),17.0,7.0,23.0,18.0,159.0,TBA,96.0,12
AUS 9210,Michael Quirk,Joel Castle,,17.0,2.0,15.0,15.0,(27.0),20.0,3.0,14.0,14.0,(32.0),159.0,None,100.0,13
DEN 9209,Jan Saugmann DEN,Marcus Cooper AUS,,29.0,(35.0),6.0,19.0,21.0,(90.0 DNC),11.0,1.0,1.0,13.0,226.0,TBA,101.0,14
AUS 9191,Malcolm Higgins,Nick Johnston,,6.0,28.0,5.0,18.0,3.0,(33.0),(38.0),19.0,15.0,24.0,189.0,WhiskeyTangoFoxtrot,118.0,15
CAN 9207,Robert Tennant,Steve Bourdow,,(37.0),18.0,7.0,10.0,16.0,7.0,30.0,16.0,(47.0),21.0,209.0,White Boat,125.0,16
AUS 9061,Kevin Cameron,Sam Heritage,,9.0,15.0,(90.0 RET),(38.0),10.0,23.0,24.0,22.0,13.0,9.0,253.0,Alarm Innovations,125.0,17
AUS 8760,Daniel Keys,Daryl Roos,,(27.0),21.0,17.0,21.0,17.0,18.0,14.0,(27.0),5.0,15.0,182.0,Intergalactic,128.0,18
USA 9208,Edward Conrads,Brian Haines,,7.0,11.0,(26.0),11.0,19.0,19.0,15.0,26.0,(28.0),20.0,182.0,IBIPCYHI,128.0,19
