Nat SailNo,Helm Name,Crew Name,Division,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Bow Number,Boat,,Nett,Rank
AUS 8801,Peter Nicholas,Luke Payne,,-5,1,3,1,4,14,25,The Fish,,9,1
USA 9072,Mike Holt,Carl Smit,,1,6,2,2,-10,21,14,IO Integration,,11,2
USA 9106,Mike Martin,Adam Lowry,,-16,5,1,6,1,29,59,Mike's Boat,,13,3
GER 9152,Wolfgang Hunger,Holger Jess,Master Crew,-18,4,5,5,3,35,9,n.n.,,17,4
AUS 9191,Malcolm Higgins,Nick Johnston,,-19,2,4,11,2,38,78,WhiskeyTangoFoxtrot,,19,5
USA 9004,Parker Shinn,Eric Anderson,,3,-19,12,4,9,47,73,N = 1,,28,6
GBR 9190,Ian Pinnell,Reeve Dunn,,10,3,11,-12,7,43,6,Easy Tiger,,31,7
GER 9198,Julian Stueckl,Johannes Tellen,,2,20,90.0 DNC*,7,6,125,33,TBA,,35,8
USA 9160,Howard Hamlin,Jeff Nelson,Master Helm,-35,11,8,3,14,71,27,Nine One Six Oh,,36,9
GBR 9203,Nathan Batchelor,Harry Briddon,,-22,7,6,22,5,62,5,Ovington Boats,,40,10
AUS 8760,Daniel Keys,Daryl Roos,,9,-33,14,8,11,75,75,Intergalactic,,42,11
GER 9121,Jan-Philipp Hofmann,Felix Brockerhoff,,-17,13,7,10,13,60,54,TBA,,43,12
GER 9070,Stefan Koechlin,Andreas Achterberg,,13,15,9,-21,8,66,22,TBA,,45,13
GBR 8970,Penny Clark,Russ Clark,Mixed,8,21,10,9,-57,105,37,RNSA,,48,14
AUS 9059,Christopher Paterson,Thor Schoenhoff,,11,9,16,20,-21,77,17,Frankenjess,,56,15
USA 9208,Edward Conrads,Brian Haines,,6,12,90.0 DNC*,26,19,153,18,IBIPCYHI,,63,16
GER 9169,Tim Böger,Finn Boger,,4,25,25,16,90.0 DNF*,160,16,gehalt.de,,70,17
AUS 8794,Michael Babbage,James McAllister,,25,17,90.0 DNC*,15,15,162,79,Alvin Rides Again,,72,18
AUS 9115,Clarke Bradley,Bradley Clarke,,-40,27,19,18,12,116,81,Sailingbits.com,,76,19
RSA 9063,James Largier,Richard Hutton-Squire,,14,24,15,24,-43,120,80,Iris,,77,20
RSA 9094,Thomas Funke,TBA,,21,-23,22,14,20,100,66,LELO,,77,21
GBR 9124,Terry Scutcher,Christian Diebitsch,Master Crew,-27,18,18,19,23,105,36,TBA,,78,22
AUS 8644,Ayden Menzies,Grant Rose,,20,-35,28,17,17,117,34,KRAKEN,,82,23
GER 9182,Alexander Holzapfel,Aron Tellen,,-30,28,13,27,24,122,42,Le vent/vin nous portera,,92,24
AUS 9210,Michael Quirk,Joel Castle,,15,34,17,-38,26,130,3,None,,92,25
USA 9102,Douglas Hagan,Paul Von Grey,,29,26,90.0 DNC*,23,22,190,38,Panic,,100,26
AUS 9167,Nigel Lott,Bob Franks,,26,29,90.0 DNC*,30,18,193,61,Soaked,,103,27
RSA 8725,Alexander Ham,Jonathan Ham,Youth,7,37,-40,29,33,146,44,Little Blue Ringed Octopus,,106,28
AUS 9192,Mark Stowell,Conall Hansford,,-31,30,20,28,30,139,2,Prawnbroker,,108,29
GER 9035,Timon Treichel,Morten Roos,Youth,33,16,90.0 DNC*,36,25,200,71,TM-Racing,,110,30
AUS 9061,Kevin Cameron,Sam Heritage,,43,14,90.0 RET*,31,27,205,53,Alarm Innovations,,115,31
AUS 8946,Sandy Higgins,Paul Marsh,,12,8,90.0 DNC*,90.0 DNC,16,216,11,Hawaii five o,,126,32
AUS 8855,Nicholas Mariani,Alex Thomson,,23,38,90.0 DNC*,25,45,221,69,Epileptic Octopus,,131,33
AUS 8890,Martin Pike,Brian Jones,,-48,45,21,40,29,183,65,Groove Train,,135,34
AUS 8920,Jeffrey Robinson,Adam Wyatt,,41.5,36,23,-52,35,187.5,83,ASAP,,135.5,35
GBR 9158,Tom Stivano,Paddy Lewis,,37,31,26,43,-63,200,48,No name,,137,36
SWE 8974,Malin Broberg,Johan Rook,Mixed,28,41,36,41,-44,190,32,Magic Marine,,146,37
AUS 8893,Ryan Menzies,Lachlan Hornsby,,24,40,30,53,-55,202,58,Yeah Buddy,,147,38
RSA 8789,Ryan Robinson,Warwick Ham,,34,-39,38,39,37,187,43,7 of 9,,148,39
CAN 9207,Robert Tennant,Steve Bourdow,,38,10,90.0 DNC*,13,90.0 DNC,241,72,White Boat,,151,40
GBR 9105,James McGillivray,John Mclean,,39,47,27,49,-53,215,20,Duck Duck Duck!,,162,41
GBR 9125,Roger Deane,Jonathan Ward,Master Crew,-78,48,39,51,28,244,19,Rock Beat,,166,42
