Country,Sail NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Total,Place
SWE,6621,Karl-Erik Nilsson,Jan Calvert,,2,2,4,1,1,,6,1
SWE,6718,Krister Bergström,Martin Bergström,,,,,,,,10,2
SWE,6841,Ebbe Rosén,Olle Wenrup,,,,,,,,11,3
SWE,6630,Staffan Eklund,Anders Eklund,,7,3,2,3,3,,11,4
SWE,6143,Stefan Eriksson,Kjell Lidman,,,,,,,,16,5
SWE,6829,Thomas Widstrand,Per-Anders Hallberg,,,,,,,,20,6
SWE,6072,Bo Ferm,Jan Ferm,,,,,,,,28,7
SWE,6434,Arne Malm,Torbjörn Lindersson,,,,,,,,32,8
SWE,6709,Jan Nilsson,Dan Stenberg,,,,,,,,35,9
SWE,6144,Anders Aven,Karl-Mikael Andersson,,,,,,,,39,10
SWE,5227,Michael Wallin,Jonas Hallberg,,,,,,,,44,11
SWE,5720,Johan Rundgren,Hans Jörnén,,,,,,,,48,12
SWE,6693,Peter Josefsson,Stefan Josefsson,,,,,,,,52,13
SWE,5797,Anders Malmström,Stefan Blidner,,,,,,,,54,14
SWE,6680,Christian Pettersson,Lisbeth Dahlén,,,,,,,,55,15
SWE,5635,Jan Knute,Hans Andersson,,,,,,,,58,16
SWE,3147,Per Oskarsson,Lars Edström,,,,,,,,59,17
SWE,4422,Ulf Dunberg,Lars Johansson,,,,,,,,59,18
SWE,6631,Staffan Wincrantz,Anders Wincrantz,,,,,,,,59,19
SWE,5129,Göran Andersson,Erik von Zweigbergk,,,,,,,,70,20
SWE,4718,Jan B Eriksson,Per Eriksson,,,,,,,,85,21
