Nation,Sailno,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Scores,Place
GER,8875,Findel Jens,Tellen Johannes,,2,-8,1,1,4,3,11,1
GER,8957,Hunger Wolfgang,Kleiner Julien,,3,2,2,-4,3,1,11,2
FRA,8902,Boite Philippe,Toupet Fabrice,,-6,3,3,2,5,2,15,3
GER,8651,Kellner Christian,Schoeler Martin,,8,1,-9,3,2,8,22,4
GER,8927,Goerge Martin,Rix Heini,,4,7,-14,9,1,5,26,5
GER,8966,Böhm Stefan,Roos Gerald,,1,11,4,5,8,(dns),29,6
GBR,8960,Pinnell Ian,Carl Gibbon,,5,4,5,7,17,-18,38,7
SUI,8954,Florian Stauffer,Philippe Jacot,,7,10,8,6,11,-13,42,8
GBR,8881,Scutcher Terry,Diebitsch Christian,,(dsq),5,7,8,13,14,47,9
FRA,7771,Loyal Bertrand,Detappe Xavier,,11,6,13,-14,14,6,50,10
SUI,8543,Cédric Bart,Marti Ueli,,12,9,-15,11,12,12,56,11
DEN,8964,Saugmann Jan,Ramsbæk Morten,,16,-30,6,28,9,4,63,12
GER,8669,Boeger Tim,Muehlbauer Markus,,-25,15,11,18,7,16,67,13
SUI,8569,Betschen René,Hollinger Lionel,,19,13,10,-22,20,7,69,14
GER,8928,Schultz Hendrik,Zeiler Claudius,,27,12,16,-32,22,9,86,15
GBR,8963,Hodgson Martin,Miles Adrian,,15,22,21,12,-29,19,89,16
GER,8665,Schlomka Fritz,Urs Wihlfahrt,,18,16,-46,16,18,28,96,17
ITA,8916,Ciferri Enrico,Natali Gabriele,,17,19,-35,17,16,27,96,18
GER,8932,Filimonow Dirk,Stöckmann Lars,,-34,24,18,13,26,17,98,19
GER,8693,Daisenberger Michael,Lautenschläger Florian,,20,36,19,10,-41,15,100,20
GER,8463,Achterberg Frieder,Lanatowitz Arne,,32,-42,12,23,10,32,109,21
GER,8777,Schollmayer Stefan,Sanguino Frisco,,9,23,32,-56,24,23,111,22
GER,8903,Schweiger Stephan,Koch Thorsten,,29,25,30,20,-38,10,114,23
GER,8901,Söllner Sophie,Stückl Wolfgang,,13,27,25,31,-35,21,117,24
GBR,8945,Kenney Ross,Kenney Adam,,33,17,20,27,-40,20,117,25
FRA,8900,Gubri Serge,Di Pède Thibault,,23,28,-36,30,19,30,130,26
GBR,8905,Turnbull Stuart,Lunn Jason,,-36,14,24,36,33,24,131,27
SUI,8613,Gilles Pertermann,Laurent Grob,,22,34,47,24,6,(dns),133,28
GBR,8906,Briddon Harry,Briddon Simon,,10,29,34,19,-55,41,133,29
GER,8874,Dasenbrooko Norberto,Meier Sven,,14,18,44,-46,28,29,133,30
GER,8642,Greger Thoralf,Klein Christoph,,21,35,29,29,23,-42,137,31
GBR,8381,Alexander Eavle,Gregg Ian,,40,20,31,26,31,-46,148,32
GBR,8955,Lake Simon,Iliffe Ben,,28,21,38,37,25,-39,149,33
GER,8519,Wisolek Robert,Farmer Dave,,-47,38,22,21,39,35,155,34
GER,8862,Hänsgen Dirk,Rupprich Frank,,42,-45,23,41,27,25,158,35
GER,8751,Birkner Nici,Stenger Angela,,31,43,28,25,-44,31,158,36
GER,8580,Roos Ronald,Achterberg Andreas,,(dnf),dns,dns,15,15,11,159,37
BEL,8773,Van Laer Pieter,Defrident Eric,,-45,26,26,35,36,37,160,38
GBR,8887,Williams Richard,Davies John,,30,41,17,-43,43,33,164,39
GER,8672,Contag Karsten,Von Walter Guido,,24,39,-49,33,34,36,166,40
FRA,8683,Lafortune Antoine,Lafortune Geraud,,-44,31,43,34,21,38,167,41
ITA,8743,Giraldi Marco,Pearson Pip,,43,33,41,-45,32,22,171,42
GER,8843,Gerdes Reiner,Dehne Lars,,35,40,-48,44,37,26,182,43
BEL,8880,De Pauw Geert,Jourquin Koen,,37,44,40,-50,42,34,197,44
FRA,8321,Nevo Laurent,Bouton Fabrice,,39,(dns),37,39,46,43,204,45
FRA,8402,Bleuez Loic,Roucayrol Frederic,,38,32,45,42,-53,48,205,46
ITA,8127,Gambardella Marco,Candela Roberto,,26,37,27,(dns),dns,dns,208,47
GBR,8925,Wedge Martin,Allen Scott,,52,(dns),dns,38,30,40,219,48
FRA,8187,Gabriel Leduc,Thibaud Cyril,,41,46,33,49,(dns),dns,228,49
GER,8658,Hoell Tina,Wilhelm Alexander,,51,50,39,-52,50,44,234,50
GER,8579,Rentelmann Hans-Juergen,Wackerbauer Peter,,-55,51,53,40,47,49,240,51
FRA,8847,Boiry Michel,Gougeon Matthieu,,50,48,42,-54,51,51,242,52
SUI,8079,Nydegger Lorenz,Nydegger Martin,,48,-52,51,47,52,45,243,53
GBR,8907,Berry Jim,Barnes David,,46,49,50,-53,49,50,244,54
GER,8527,Weiss Hartmut,Weiss Volker,,53,47,52,-55,48,47,247,55
GER,8663,Grosskurth Benjamin,Schederer Hannes,,49,(dnf),dns,48,45,dns,260,56
GBR,8435,Mcgale Patrick,Von Grey Paul,,54,53,(dns),51,54,52,264,57
ITA,8671,Loce Roberto,Bertenasco Ludovico,,(dnf),54,54,dnf,dns,53,279,58
