Nation,Boat NO,skipper,crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,R1 pts,R2 pts,R3 pts,R4 pts,R5 pts,R6 pts,R7 pts,R8 pts,drop,total,Points,pos
USA,7318,Mike Zani,Peter Alarie,,4,2,2,3,8*,1,3,2,8,3,3,5.7,14,0,5.7,3,14,42.4,28.4,1
USA,8266,Howard Hamlin,Mike Martin,,5*,4,3,1,1,5,2,3,10,8,5.7,0,0,10,3,5.7,10,42.4,32.4,2
USA,8610,Nick Trotman,Mike Mills,,1,3,1,11*,2,3,5,5,0,5.7,0,17,3,5.7,10,10,17,51.4,34.4,3
USA,7875,Jeff Miller,Bruce Heckman,,6,1,6,2,3,2,7*,1,11.7,0,11.7,3,5.7,3,13,0,13,48.1,35.1,4
USA,8629,Tyler Moore,Scott Ikle,,2,8,4,4,DNF*,14,4,4,3,14,8,8,42,20,8,8,42,111,69,5
USA,8263,Ali Meller,Allan Johnson,,13,5,16*,12,6,6,6,6,19,10,22,18,11.7,11.7,11.7,11.7,22,115.8,93.8,6
USA,8060,Tim Collins,Bill Smith,,12,10,18*,5,16,11,1,8,18,16,24,10,22,17,0,14,24,121,97,7
CAN,7039,Robin Brown,Rich Mondell,,3,12,7,9,5,18,15,9,5.7,18*,13,15,10,24,21,15,24,121.7,97.7,8
USA,8411,Nick Adamson,Bruce Tilley,,11,7,19*,6,11,8,13,10,17,13,25,11.7,17,14,19,16,25,132.7,107.7,9
USA,6992,Dan Thompson,Uli Coblenz,,17*,13,11,8,15,7,14,7,23,19,17,14,21,13,20,13,23,140,117,10
USA,8084,Thad Lieb,Rob Waterman,,7,14,5,15,4,20*,16,18,13,20,10,21,8,26,22,24,26,144,118,11
USA,8643,Barney Harris,Jesse Falsone,,8,9,13,17*,14,13,8,11,14,15,19,23,20,19,14,17,23,141,118,12
USA,8012,Henry Amthor,John Fry,,9,11,12,13,23*,4,9,21,15,17,18,19,29,8,15,27,29,148,119,13
USA,7201,Bob Little,Don Smith,,10,6,17*,16,13,10,17,13,16,11.7,23,22,19,16,23,19,23,149.7,126.7,14
USA,7096,Bryan Largay,Matt Sanders,,16,16,15,7,7,23*,12,15,22,22,21,13,13,29,18,21,29,159,130,15
USA,8554,Andy Gooding,Steve Bartz,,14,23*,9,18,9,12,18,12,20,29,15,24,15,18,24,18,29,163,134,16
USA,7873,Ellen Ablow,Alan Norman,,19*,19,8,14,17,15,10,24,25,25,14,20,23,21,16,30,25,174,149,17
USA,8576,Terry Neff,Bob Noyes,,20*,15,10,19,18,16,11,23,26,21,16,25,24,22,17,29,26,180,154,18
GER,8593,Johan Bäcksin,Mike Smith,,21,20,25*,10,19,9,24,20,27,26,31,16,25,15,30,26,31,196,165,19
SUI,7153,Urs Rothacher,Giuseppe Sgorbati,,15,18,20,20,25*,22,23,16,21,24,26,26,31,28,29,22,31,207,176,20
CAN,8260,Shona Moss Lovshin,Stephen Lovshin,,26,30*,21,22,12,19,19,19,32,36,27,28,18,25,25,25,36,216,180,21
USA,7611,Mark Adams,Craig Perez,,22,17,27*,24,10,26,25,22,28,23,33,30,16,32,31,28,33,221,188,22
USA,7068,Kevin Taugher,Jack Nash,,28*,21,14,27,24,24,22,17,34,27,20,33,30,30,28,23,34,225,191,23
USA,8194,Tom Kivney,Todd Johnson,,18,24,23,26,30*,25,20,26,24,30,29,32,36,31,26,32,36,240,204,24
USA,8013,Chris Museler,John Ingals,,24,DNF*,24,31,20,21,21,27,30,42,30,37,26,27,27,33,42,252,210,25
USA,7066,Madhavan Thirumalai,Bill Beardslee,,27*,27,22,23,21,27,26,25,33,33,28,29,27,33,32,31,33,246,213,26
CAN,7095,John Hayley,Tom Burnard,,25,26,26,28,26,30*,27,14,31,32,32,34,32,36,33,20,36,250,214,27
USA,7606,Dan Treadwell,Scott MacKay,,31,25,31,25,22,32*,28,28,37,31,37,31,28,38,34,34,38,270,232,28
USA,7359,Gary Ruggles,Greg Gump,,30,28,32*,29,29,17,29,31,36,34,38,35,35,23,35,37,38,273,235,29
USA,6931,Dave Cahn,Will Hartje,,29,29,29,21,28,28,30*,30,35,35,35,27,34,34,36,36,36,272,236,30
CAN,7094,Brook Hamilton,Wayne Brox,,23,22,30,30,RET,DNS*,DNS,DNS,29,28,36,36,42,42,42,42,42,297,255,31
USA,3246,Andy Wisner,Tom Cook,,32,31,28,32,27,DNF,DNF*,29,38,37,34,38,33,42,42,35,42,299,257,32
CAN,6740,Peter van Muyden,Carl Fuchshuber,,33,32,33,34,31,31,31,DNS*,39,38,39,40,37,37,37,42,40,309,269,33
USA,8616,Ted Nordquist,Kirk Wilson,,35,34,DNS*,33,32,29,33,33,41,40,42,39,38,35,39,39,42,313,271,34
USA,8268,Dave Matthews,Mike Jiminez,,34,33,34,35,DNS,DNS*,32,32,40,39,40,41,42,42,38,38,42,320,278,35
