Nation,Boat no,Helm,Crew c,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GER,8775,Wolfang Hunger,Holger Jess,,7,1,1,2,2,2,8,1
GER,8725,Dietrich Scheder,Rolf Meyer,,18,17,3,1,1,1,23,2
FRA,8702,Philippe Boite,Fabrice Toupet,,6,4,2,10,3,10,25,3
SUI,8729,Jean-Francois De Cerjat ,P Jawt,,1,5,6,7,8,22,27,4
FRA,8564,Laurent Hay,Jean Pierre Gallo,,5,2,11,9,9,5,30,5
GER,8632,Christian Kellner,Joha Stammer,,13 OCS,4,5,6,3,,31,6
GBR,8774,Ian Pinnell,Tim Hancock,,11,18,5,6,4,17,43,7
GBR,8776,Charles Walters,Chri Diebltsch,,3,33,9,13,12,16,53,8
FRA,8709,Alain Boite,Goff Le Maxime,,16,32,7,16,5,11,55,9
FRA,8687,Francois Fischer,Jerom Delvaux,,19,8,14,4,14,27,59,10
DEN,8440,Per Larsen,Henrir Andersen,,17,9,25,3,34,7,61,11
GER,8720,Dirk Filimonow,Lars Stockmann,,12,16,8,12,13,DNC,61,12
GER,8750,Christian Mullejans,Karst Morf,,29,12,10,15,7,20,64,13
GER,8376,Volker Niediek,Stefan Hiesing,,39,6,17,11,17 SCP,,79,14
SUI,8569,Rene Betschen,Patrck Ducommun,,4 OCS,15,17,16,28,,80,15
GER,8747,Jorg Thumann,Oliver Stieglitz,,30,27,12,8,21,13,81,16
FRA,8541,Francis Doerenbecher,Doerenbec,,20,36,20,29,23,4,96,17
FRA,8716,Christian Silvestre,Pi Partant,,15,11,29,28,44 SCP,,98,18
GER,8542,Tom Swift,Dennis Kummutat,,26,29,13,14,19 SCP,,98,19
GER,8769,Stefan Bohm,Gerald Roos,,8,3,DNC,18,11,DNC,106,20
DEN,8656,Benoit Valleteau De Mouliac,Sc,,24,13,DNC,25,22,25,109,21
GER,8777,Stefan Schollmayer,Fr Sanguino,,14,19,27,32,18,31,109,22
GER,8662,Jan Stoelken,Matthias Bruehl,,21,22,18,22,37,26,109,23
GER,8633,Julien Fernandez,Wolfga Stuckl,,45,41,19,27,24,9,120,24
FRA,8761,Serge Gubri,Marc Riot,,33 OCS,16,20,25,33,,127,25
GBR,8708,Martin Wedge,Jonny Mildred,,32,10,DNC,DNC,15,6,129,26
FRA,8090,Loic Bleuez,Michel Bonnet,,57,25,31,19,30,30,135,27
GER,8721,Martin Seikel,Norbert Becker,,31,20,DNC,DNC,10,12,139,28
FRA,8509,Pierre Muh,Dominiqu Keraudrenv,,46,15,30,21,35,42,143,29
GER,8519,Robert Wisolek,Oliver Paulsen,,10 OCS,21,31,20,DNC,,148,30
FRA,8695,Jean-Guy Puissant,Eti Seguelas,,40 OCS,22,24,27,41,,154,31
FRA,8748,Muriel Jeanne,Gilles Carvallo,,35,28,32,30,43,38,163,32
FRA,8400,Marc Jouany,Eric Billod,,42,45,26,38,38,23,167,33
SUI,8079,Lorenz Nydegger,Marti Nydegger,,ZPG,37,28,33,42,32,172,34
GER,8472,Melanie Oestergaard,Oestergaar,,44,49,DNC,23,28,29,173,35
FRA,8603,Jean-Philippe Chartier,Alain Chartier,,34,39,34,34,45,DNF,186,36
GER,8623,Eric Brun,Dominique Rouanne,,49,34,36,35,52,35,189,37
