Nation,Sailno,Name,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Scores,Place
GER,8862,Böhm Stefan,Roos Gerald,,8,3,1,2,2,-10,2,7,25,1
GBR,8882,Pinnel Ian,Hunt Stene,,6,1,6,1,5,9,-13,5,33,2
FRA,8771,Boite Philippe,Toupet Fabrice,,3,4,(DNF),9,1,6,4,8,35,3
DEN,8923,Bojsen-Moller Jorgen,Bojsen-Moller Jacob,,5,20,(DNF),3,7,1,1,3,40,4
GBR,8881,Scutcher Terry,Diebitsch Christian,,1,2,10,5,13,11,-17,6,48,5
GER,8744,Kellner Christian,Rix Heini,,16,-24,2,11,3,4,12,2,50,6
GER,8728,Görge Martin,Görge Rainer,,14,6,4,4,12,2,9,-25,51,7
GER,8651,Lehmann Claas,Martin Schoeler,,24,7,7,8,4,(DNF),3,1,54,8
SUI,8729,Florian Stauffer,Philippe Jacot,,4,8,-18,10,6,12,5,15,60,9
GER,8669,Boeger Tim,Jung Thomas,,15,5,3,19,8,-20,14,4,68,10
GER,8720,Filimonow Dirk,Stoeckmann Lars,,7,9,(DNF),12,11,14,6,11,70,11
GER,8901,Achterberg Frieder,Stückl Wolfgang,,9,12,14,17,-22,8,16,10,86,12
GER,8580,Mühlbauer Markus,Achterberg Andreas,,2,22,(DNF),13,17,5,15,13,87,13
GER,8843,Hufnagel Jens,Dehne Lars,,12,17,-19,14,9,7,19,19,97,14
GBR,8836,Brown Robin,Fulcher Neil,,31,10,13,6,10,3,28,(DNF),101,15
GBR,8835,Walters Charlie,Cram Dougal,,11,11,8,7,(DNF),DNF,8,12,104,16
GBR,8905,Turnbull Stuart,Lunn Jason,,20,15,11,-29,16,16,22,14,114,17
GER,8751,Fischer Helen,Stenger Angela,,22,28,20,-36,24,17,7,9,127,18
GER,8665,Schlomka Fritz,Wihlfahrt Urs,,21,19,9,25,14,23,-27,16,127,19
SUI,8569,Betschen Rene,Ducommum Patrick,,18,13,12,-34,15,21,23,27,129,20
GER,8663,Dasenbrook Norbert,Meier Sven,,13,21,17,-31,20,26,20,20,137,21
DEN,8828,Andersen Jon,Andreasen Lasse,,19,16,(DNF),18,DNF,13,11,17,141,22
GER,8777,Schollmayer Stefan,Sanguino Frisco,,27,27,15,16,19,18,21,-28,143,23
DEN,8849,Larsen Per,Andersen Henrik,,23,18,16,23,21,(DNF),33,21,155,24
GBR,8885,Holzapfel Alexander,Lake Simon,,-45,23,5,21,18,15,40,35,157,25
GBR,8773,Smith Andrew,Byrd Norman,,10,(DNF),DNF,15,25,19,10,DNF,173,26
DEN,8416,Buhl Henrik,Rodhom Johnny,,25,35,21,35,(DNF),33,18,18,185,27
DEN,8440,Christiansen Mikkel,Christiansen Mads,,-33,25,25,30,26,27,29,24,186,28
SUI,8614,Froidevaux Marc,Jacot Valéry,,-32,31,24,28,29,31,25,26,194,29
GBR,8907,Berry Jim,Barnes Dave,,(DNF),26,23,32,31,29,36,33,210,30
GER,8672,Contag Karsten,Von Walter Guido,,37,30,27,27,27,28,-38,34,210,31
GER,8522,Lehning Hannes,Fuchs Christoph,,26,(DNF),DNF,22,33,24,31,30,213,32
GER,8642,Greger Thoralf,Klein Christoph,,28,(DNF),DNF,24,32,35,24,23,213,33
GER,8519,Wisolek Robert,Klapper Timo,,41,33,(DNF),39,23,22,30,31,219,34
GER,8721,Seikel Martin,Becker Norbert,,17,14,(DNF),DNF,DNF,DNF,26,22,220,35
GER,8418,Sell Jan,Gewinn Wiebke,,30,32,26,-40,30,30,37,39,224,36
GER,8579,Rentelmann Hans-Jürgen,Wackerbauer Peter,,35,(DNF),DNF,20,28,36,32,29,227,37
GBR,8745,Pearson Chris,Rainsborough Frank,,29,(DNF),DNF,26,34,25,34,36,231,38
GER,8507,Grosskurth Benjamin,Koch Thorsten,,34,38,(DNF),33,35,34,35,32,241,39
GER,8530,Von Mertens Alexander,Dörr Christian,,39,29,22,37,(DNF),DNF,41,38,253,40
GER,7661,Hoell Tina,Wilhelm Alexander,,36,36,29,-44,37,37,39,41,255,41
ITA,8097,Giraldi Marco,Airoldi Massimiliano,,42,(DNF),28,42,DNF,38,43,37,277,42
GER,8674,Bohnenberger Pedro,Weichbrodt Kersten,,44,37,(DNF),43,38,32,44,DNF,285,43
GBR,7566,Schluter Olav,Schluter Andreas,,38,34,(DNF),38,DNF,DNF,42,40,286,44
SUI,8375,Nydegger Martin,Bacher Samuel,,40,(DNF),30,41,36,DNF,DNF,DNF,288,45
GBR,8435,Mcgale Patrick,Cull Alex,,43,(DNF),DNF,DNF,DNF,DNF,DNF,DNF,325,46
