Nat,Boat,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Pts.,Pos
USA,7093,Ethan Bixby,Cam Lewis,,1,1,5,7,11,3,28.7,1
USA,7152,Jon Andron,Howard Hamlin,,3,18,9,6,1,1,32.4,2
SWE,7145,Staffan Eklund,Anders Eklund,,5,5,4,1,16,7,41,3
USA,6933,Steve Benjamin,Tucker Edmundson,,DNF,3,11,2,2,10,44.7,4
USA,6992,Jeff Miller,Tom Poore,,9,12,7,3,4,4,49.7,5
USA,7200,Larry Tuttle,Trevor Baylis,,2,2,20,5,21,5,52,6
DEN,7143,Jorgen Schonherr,Anders Kampe,,7,11,19,4,214,2,61,7
USA,7100,John Pulverman,Duncan Skinner,,18,10,1,8,18,12,72,8
USA,7069,Jeff Brauch,G. Beck,,15,17,14,14,3,16,88.7,9
SWE,7351,Kalle Nilsson,Anders Avén,,4,23,36,17,15,8,95,10
GBR,7327,Peter Colclough,Harold Barnes,,10,8,21,11,23,17,97,11
,,,,,,,,,,,,12
,,,,,,,,,,,,13
,,,,,,,,,,,,14
,,,,,,,,,,,,15
,,,,,,,,,,,,16
SWE,7296,Ebbe Rosén,Olle Wenrup,,,,,,,,123,17
,,,,,,,,,,,,18
,,,,,,,,,,,,19
,,,,,,,,,,,,20
,,,,,,,,,,,,21
,,,,,,,,,,,,22
,,,,,,,,,,,,23
,,,,,,,,,,,,24
,,,,,,,,,,,,25
,,,,,,,,,,,,26
,,,,,,,,,,,,27
,,,,,,,,,,,,28
,,,,,,,,,,,,29
,,,,,,,,,,,,30
,,,,,,,,,,,,31
,,,,,,,,,,,,32
,,,,,,,,,,,,33
,,,,,,,,,,,,34
,,,,,,,,,,,,35
,,,,,,,,,,,,36
,,,,,,,,,,,,37
,,,,,,,,,,,,38
,,,,,,,,,,,,39
,,,,,,,,,,,,40
SWE,7160,Bo Ferm,Jan Ferm,,,,,,,,219,41
,,,,,,,,,,,,42
,,,,,,,,,,,,43
,,,,,,,,,,,,44
,,,,,,,,,,,,45
,,,,,,,,,,,,46
,,,,,,,,,,,,47
,,,,,,,,,,,,48
,,,,,,,,,,,,49
,,,,,,,,,,,,50
,,,,,,,,,,,,51
,,,,,,,,,,,,52
,,,,,,,,,,,,53
,,,,,,,,,,,,54
,,,,,,,,,,,,55
,,,,,,,,,,,,56
,,,,,,,,,,,,57
,,,,,,,,,,,,58
,,,,,,,,,,,,59
,,,,,,,,,,,,60
,,,,,,,,,,,,61
,,,,,,,,,,,,62
,,,,,,,,,,,,63
,,,,,,,,,,,,64
SWE,7297,Per Oskarsson,Lars Edström,,,,,,,,327,65
,,,,,,,,,,,,66
,,,,,,,,,,,,67
,,,,,,,,,,,,68
,,,,,,,,,,,,69
,,,,,,,,,,,,70
,,,,,,,,,,,,71
,,,,,,,,,,,,72
,,,,,,,,,,,,73
,,,,,,,,,,,,74
,,,,,,,,,,,,75
,,,,,,,,,,,,76
,,,,,,,,,,,,77
,,,,,,,,,,,,78
,,,,,,,,,,,,79
,,,,,,,,,,,,80
,,,,,,,,,,,,81
,,,,,,,,,,,,82
,,,,,,,,,,,,83
,,,,,,,,,,,,84
,,,,,,,,,,,,85
,,,,,,,,,,,,86
,,,,,,,,,,,,87
,,,,,,,,,,,,88
,,,,,,,,,,,,89
,,,,,,,,,,,,90
