,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,Platz
GER,8989,Andreas Jungclaus,Thomas Tschentscher,HSC,1,1,1,,1
GER,9046,Hartwig Friedrichs,Stefan Schmidt,WSCW,3,2,4,,2
GER,8480,Marc Köster,Christoph Köster,BSV-AT,2,6,2,,3
GER,8669,Jan Peckolt,Simon Zimmermann,YCL,6,3,6,,4
GER,8741,Jürgen Anton,Ulf Denecke,HSC,5,8,3,,5
GER,8500,Katharina Menge,Jens Kühne,OSG,9,4,5,,6
GER,8721,Daniel Czeninga,Martin Lietz,FSV 03 eV,7,7,7,,7
GER,8988,Oliver Thies,Arne Lanatowitz,,4,5,DNC 11,,8
GER,8317,Christina Burger,Hilmer Goedeking,SVO,10,8,9,,9
GER,8697,Wilfried Stuis,Thorge Holm,YCN,8,DNF 11,DNC 11,,10
