,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,9020,Tim Böger,Markus Schöner,HSC,1,1,3,1,1,,1
GER,8972,Ronald Roos,Morten Roos,SVWu,4,2,1,3,6,,2
GER,8903,Steve Kwee,Thorsten Spötter,HSC,2,4,4,2,3,,3
GER,8989,Andreas Jungclaus,Thomas Tschentscher,HSC,6,3,7,4,2,,4
GER,8741,Jürgen Anton,Ulf Denecke,HSC,3,6,6,6,4,,5
GER,8656,Kurt Reincke,Carsten Hehl,HSC,8,8,2,5,5,,6
GER,8988,Oliver Thies,Alena-Larissa Wilkens,,7,5,5,7,19,,7
GER,8550,Martha Hauschild,Michael Heyder,SCS,9,7,DNF,8,10,,8
GER,8932,Christian Henge,Matthias Fedde,OSG,5,14,8,15,13,,9
GER,8669,Yorck Frese,Malte Frese,SVWS,DNF,13,9,11,7,,10
GER,8282,Max Rauner,Birgit Hartmann,SVTH,11,12,13,12,11,,11
GER,8437,Davina Schlesiger,Marvin Schlesiger,MSC,14,11,11,13,12,,12
GER,6768,Markus Hintz,John Christiansen,HSC,13,9,12,16,14,,13
GER,8500,Katharina Menge,Jens Kühne,OSG,12,10,14,14,15,,14
GER,8964,Walter Steding,Hans-Werner Steding,HSC,10,DNF,DNC,9,8,,15
GER,7219,Matthias Dachs,Jörn Alberts,HSC,DNF,DNF,10,10,9,,16
GER,8662,Klaus Brinkbäumer,Toralf Feuchtenhofer,HSC,15,DNF,15,20,20,,17
GER,6817,Ralf Schneidewind,Oliver Schürmann,KSC,DNC,DNC,DNC,18,16,,18
GER,8051,Andreas Lucko,Jan Blasko,HSC,DNF,DNC,DNC,17,17,,19
GER,8317,Christina Burger,Eike Frahseck,SVO,DNC,DNC,DNC,19,18,,20
