,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,8990,Max Adami,Wolfgang Stückl,DTYC,2,1,1,7,,1
GER,9090,Christian Kellner,Angela Stenger,HSC,4,3,2,2,,2
GER,8928,Stephan Schweiger,Thorsten Koch,SCLW,1,4,5,5,,3
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,3,6,4,3,,4
GER,8807,Maximilian Weiß,Ann Seidel,DTYC,5,10,9,8,,5
GER,9011,Michael Daisenberger,Tobi Bolduan,DTYC,6,2,DNF,1,,6
GER,8672,Karsten Contag,Guido von Walter,SCLW,7,7,11,11,,7
GER,8962,Sophie Söllner,Pia Matscheroth-Brodwurm,CYC,8,5,20,4,,8
GER,8702,Martin Handel,Volker Böhringer,SGK,19,8,3,9,,9
GER,8658,Christina Höll,Alexander Wilhelm,HSC,16,13,7,10,,10
GER,6535,Jens Olbrysch,Anekathrin Ehmann,HSC,12,9,12,15,,11
GER,8642,Thoralf Greger,Nils Burghard,ASVG,9,18,6,17,,12
AUT,8921,Martin Schmidt,Michael Mayrhofer,ASKÖ,13,16,8,13,,13
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,10,11,14,19,,14
GER,8598,Anna Höll,Bernd Heinisch,,20,14,13,12,,15
GER,8843,Oliver Kraft,Frank Heimburger,SSCM,17,19,10,14,,16
GER,8463,Mats Westholm,Pedro Bohnenberger,SCLW,11,17,15,18,,17
GER,8530,Alexander von Mertens,Christian Dörr,StSC,15,22,19,6,,18
GER,7921,Jochen Heydolph,Nette Jansen,SCLW,14,21,18,16,,19
GER,8861,Wolfgang Seifert,Ivonne Seifert,SCLW,18,12,16,DNF,,20
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,DNF,15,17,21,,21
GER,6610,Stefan Krumm,Uwe Krumm,SSCM,21,20,21,20,,22
