,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,9102,Meike Schomäker,Holger Jess,ZSK,1,2,1,1,DNC,,1
GER,8992,Claas Lehmann,Leon Oehme,NRV,2,1,3,3,1,,2
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,4,3,2,2,2,,3
GER,8903,Steve Kwee,Thorsten Spötter,HSC,5,5,4,6,5,,4
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,10,4,6,11,3,,5
GER,8991,Michael Köritz,Horst Sjuts,USCO,9,7,7,4,7,,6
GER,9054,Marc Köster,Kai Homes,BSV-AT,6,6,5,8,DNC,,7
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,6,10,9,5,8,,8
GER,8741,Jürgen Anton,Stefan Schmidt,HSC,3,12,10,10,9,,9
GER,8500,Jens Kühne,Katharina Menge,OSG,16,8,11,9,6,,10
GER,8528,Andre Tirre,Frank Wille,YCS,7,14,8,7,DNC,,11
GER,8317,Christina Burger,Christian Koop,SVO,17,11,12,13,4,,12
GER,7326,Lukas Tanner,Andreas Tanner,RVBS,11,9,17,DNF,12,,13
GER,8469,Hansjörg Ehlers,Thomas Afken,ZSK,14,17,13,12,11,,14
GER,8376,Peter Wichtrap,Tobias Frick,,12,13,16,15,13,,15
GER,8370,Felix Graff,Stephan Graff,SLRV,15,15,15,14,10,,16
GER,8721,Daniel Czeninga,Martin Lietz,FSV 03 eV,13,16,14,17,14,,17
GER,8625,Robert Hitsch,Olaf Steimke,ZSK,18,18,18,16,DNC,,18
