,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,Sum,Points,Platz
GER,8990,Frieder Achterberg,Wolfgang Stückl,DTYC,3,1,[4],1,9,5,1
GER,8807,Maximilian Weiß,Jonas Vogt,DTYC,2,[3],1,2,8,5,2
GER,9011,Michael Daisenberger,Tobi Bolduan,DTYC,1,2,[DNF 8],6,17,9,3
GER,9043,Nicola Birkner,Angela Stenger,SVaW,[6],5,2,3,16,10,4
GER,8928,Stephan Schweiger,Thorsten Koch,SCLW,4,[6],3,4,17,11,5
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,[5],4,5,5,19,14,6
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,[7],7,6,7,27,20,7
