,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,9043,Nicola Birkner,Angela Stenger,SVaW,2,3,1,7,1,,1
GER,8807,Maximilian Weiß,Jonas Vogt,DTYC,1,2,3,5,5,,2
GER,8990,Frieder Achterberg,Wolfgang Stückl,DTYC,5,4,4,1,2,,3
GER,9023,Sophie Söllner,Max Eisenrieder,CYC,7,1,2,6,3,,4
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,4,6,5,4,4,,5
GER,8777,Jens Olbrysch,Francisco Sanguino,HSC,10,5,11,2,7,,6
GER,8702,Martin Handel,Volker Böhringer,SGK,8,9,7,3,6,,7
GER,8901,Carlo Mäge,Johannes Tellen,DTYC,3,8,6,8,10,,8
GER,8861,Wolfgang Seifert,Ivonne Seifert,SCLW,14,12,9,9,8,,9
GER,8642,Thoralf Greger,Nils Burghard,ASVG,13,11,8,10,9,,10
GER,8849,Moritz Bohnenberger,Carolin Tiegel,DTYC,6,7,10,DNF,DNF,,11
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,9,15,DNF,12,11,,12
GER,8463,Mats Westholm,Pedro Bohnenberger,SCLW,12,10,14,15,13,,13
GER,8580,Andreas Achterberg,Verena Achterberg,BYC,17,14,12,11,12,,14
GER,8530,Alexander von Mertens,Matthias Pfister,StSC,16,16,13,13,14,,15
GER,8670,Theo Kohl,Juliane Kohl,WWSC 70,18,17,15,14,15,,16
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,11,13,DNF,DNC,DNC,,17
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,15,DNF,DNF,DNC,DNC,,18
GER,8672,Markus Maier,Bernd Krüger,DTYC,DNF,DNF,16,DNC,DNC,,19
