,Boot,Steuermann,Vorschoter,Club,Race1,Race2,Race3,Race4,Race5,Race6,Brutto,Points,Platz
GER,8825,Michael Troch,Eckart König,SGJ,1,2,[3],1,1,1,9,6,1
GER,8989,Andreas Jungclaus,Alena-Larissa Wilkens,HSC,4,1,1,3,2,[5],16,11,2
GER,9046,Hartwig Friedrichs,Antje Gosch,WSCW,2,[3],2,2,3,2,14,11,3
GER,8741,Jürgen Anton,Ulf Denecke,HSC,3,4,4,[4],5,3,23,19,4
GER,8686,Hans-Jürgen Rentelmann,Markus Hintz,BSC,7,7,5,[DNC 20],4,4,47,27,5
GER,8437,Davina Schlesiger,Marvin Schlesiger,MSC,5,5,6,[8],6,7,37,29,6
GER,8282,Max Rauner,Birgit Hartmann,SVTH,6,[8],8,6,8,8,44,36,7
GER,9000,Enno Wilts,Katharina Menge,SVBB,[10],6,9,5,9,10,49,39,8
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,9,9,7,7,[10],9,51,41,9
GER,8932,Christian Henge,Rainer Gieseler,OSG,[11],10,10,9,7,6,53,42,10
GER,8317,Christina Burger,Christian Koop,SVO,8,[12],11,11,12,11,65,53,11
GER,8495,Iris Ruhnau,Hein Peters,,[13],11,12,10,11,12,69,56,12
GER,8392,Dirk Barteldt,Felix Mittermayer,SCVP,12,13,13,12,13,[14],77,63,13
GER,8051,Jan Koop,Jan Blasko,HSC,[16],14,14,13,16,15,88,72,14
GER,8493,Boris Baltzer,Christian Baltzer,HSC,14,16,16,14,14,[17],91,74,15
GER,8522,Henning Oberbeck,Simon Blessing,HSC,15,15,15,[16],15,16,92,76,16
GER,8728,Hansjörg Schirmer,Lennart Schirmer,SGJ,[18],18,17,17,17,13,100,82,17
GER,7764,Nicole Stoffels,Daniel Kreischer,OSG,17,17,18,15,18,[DNF 20],105,85,18
GER,5628,Jörg Kinder,Volkmar Leitzke,RSV,19,[DNC 20],DNC 20,DNC 20,19,DNF 20,118,98,19
