Nation,Boat no,Hellm,Crew,Clb,Race 1,Race 2,Race 3,Pointes,Place
GER,8806,Lutz Stengel,Frank Feller,ROYC,1,1,4,6,1
GER,9059,Sophie Heyer,Sebastian Salein,JSC,2,2,8,12,2
GER,8875,Jens Findel,Johannes Tellen,KYC,7,4,3,14,3
GER,8929,Tom Gosch,Rolf Meyer,Ensfr Ensfr,3,6,5,14,4
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,5,3,7,15,5
DEN,8956,Jan Saugmann,Martin Görge,DK Hellerup,10,5,1,16,6
GER,9070,Stefan Köchlin,Thomas Jung,SVS,6,8,2,16,7
GER,9054,Morten Bogacki,Lars Dehne,DYC,4,7,6,17,8
GER,8927,Fritz Schlomka,Heini Rix,TSVS,8,11,15,34,9
GER,8775,Jan Sell,Stefan Schmidt,SVWS,13,13,9,35,10
GER,8741,Jürgen Anton,Ulf Denecke,HSC,12,10,14,36,11
GER,9046,Hartwig Friederichs,Antje Gosch,WSCW,14,14,11,39,12
GER,8903,Steve Kwee,Thorsten Spötter,HSC,15,12,13,40,13
GER,8686,Christian Niefert,Sven Dömges,BSV,16,16,10,42,14
GER,8989,Andreas Jungclaus,Arne Lanatowitz,HSC,19,15,12,46,15
GER,0,Meike Schomäker,Holger Jess,KYC,9,9,31 DNF,49,16
GER,8437,Davina Schlesiger,Marvin Schlesiger,MSC,18,20,17,55,17
GER,8609,Joern Wille,Martin Bergmann,SVAOe,11,18,31 OCS,60,18
GER,8874,Henning Steffen,Tilman Giesen,SLRV,21,19,22,62,19
GER,8428,Christian Lempp,Birgit Hartmann,HSC,20,24,19,63,20
GER,8531,Anna Hauschild,Maxi Kempermann,SCS,22,22,20,64,21
GER,8669,Yorck Frese,Malte Frese,SVWS,17,17,31 OCS,65,22
GER,8500,Katharina Menge,Jens Kühne,OSG,27,23,16,66,23
GER,6817,Ralf Schneidewind,Oliver Schürmann,Lollipop,23,25,18,66,24
GER,8317,Christina Burger,Christian Koop,ZSK,25,21,21,67,25
GER,8505,Mario Tirre,Henry Stoffers,ZSK,26,26,23,75,26
GER,8664,Nicholas Melzwig,Michaela Melzwig,LRV,24,28,24,76,27
GER,2293,Ralf Bünte,Lars Schmietenknop,ZSK,28,27,25,80,28
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,31 DNF,31 DNC,31 DNF,93,29
GER,9101,Helen Fischer,Robert Rothe,KYC,31 DNS,31 DNC,31 DNC,93,29
