 Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,Platz
GER 8806,Lutz Stengel,Anja Stengel,ROYC,1,1,4,1,3,3,,1
GER 8988,Jens Olbrysch,Oliver Thies,HSC,3,4,2,2,1,1,,2
GER 9054,Boris Herrmann,Lars Dehne,ZSK,2,3,1,3,2,2,,3
GER 8656,Kurt Reincke,Carsten Hehl,HSC,4,7,5,8,4,4,,4
GER 8775,Jan Sell,Stefan Schmidt,TUSF,7,8,3,6,5,5,,5
GER 8947,Ralf Schneidewind,Oliver Schürmann,KSC,9,2,7,4,6,8,,6
GER 8932,Christian Henge,Jens Kühne,OSG,6,9,8,7,7,6,,7
GER 8519,Thure Gnadberg,Aron Tellen,BSV,5,10,9,5,8,9,,8
GER 8533,Roger Bussenius,Robert Bussenius,SCOH,8,5,12,9,10,7,,9
GER 8599,Herrmann Heide,Maik Kaiser,SSV,10,6,6,10,9,10,,10
GER 8721,Daniel Czeninga,Martin Lietz,FSV 03 eV,12,12,10,11,11,11,,11
GER 7764,Helmut Bruns,Dirk Luebbers,OSG,14,14,11,13,12,DNF,,12
GER 8662,Klaus Brinkbäumer,Toralf Feuchtenhofer,HSC,15,15,13,12,14,DNF,,13
GER 8664,Nicholas Melzwig,Alexander Hoesen,LRV,11,11,DNF,DNC,DNC,DNC,,14
GER 8493,Boris Baltzer,Christian Baltzer,HSC,13,13,DNF,DNC,13,DNF,,15
