,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,Platz
GER,8992,Claas Lehmann,Leon Oehme,NRV,1,1,1,OCS,2,0,,1
GER,9054,Morten Bogacki,Lars Dehne,DYC,4,7,2,2,2,1,,2
GER,8989,Andreas Jungclaus,Thomas Tschentscher,HSC,2,5,3,4,5,6,,3
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,9,3,5,10,4,3,,4
GER,9020,Tim Böger,Finn Böger,HSC,5,2,4,13,7,BFD,,5
GER,8929,Leonie Meyer,Rolf Meyer,,6,10,9,1,6,BFD,,6
GER,8988,Jens Olbrysch,Oliver Thies,HSC,8,4,14,15,3,5,,7
GER,8744,C. Dittmers,Rainer Görge,NRV,3,8,10,5,9,BFD,,8
GER,8903,Steve Kwee,Thorsten Spötter,HSC,7,15,7,9,8,4,,9
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,11,6,8,3,12,8,,10
GER,8991,Michael Köritz,Horst Sjuts,USCO,13,11,11,8,13,13,,11
GER,8519,Thure Gnadberg,Aron Tellen,BSV,12,13,13,14,10,DNC,,12
GER,8669,Jan Peckolt,Simon Zimmermann,YCL,20,18,15,7,14,9,,13
GER,8686,Markus Hintz,Hans-Jürgen Rentelmann,HSC,17,16,16,23,11,10,,14
GER,8874,Henning Steffen,Tilman Giesen,SLRV,10,9,12,16,24,BFD,,15
GER,8437,Davina Schlesiger,Marvin Schlesiger,MSC,24,22,6,20,19,BFD,,16
GER,8725,Matthias Dachs,Jörn Alberts,HSC,16,14,20,19,17,BFD,,17
GER,8932,Christian Henge,Katja Henge,OSG,21,22,6,20,19,BFD,,18
GER,8480,Marc Köster,Bernd Rasenack,BSV-AT,14,23,17,12,23,DNC,,19
GER,8428,Christian Lempp,Birgit Hartmann,HSC,15,17,18,22,20,BFD,,20
GER,8500,Katharina Menge,Jens Kühne,OSG,18,21,21,21,BFD,12,,21
GER,8528,Andre Tirre,Frank Wille,YCS,23,29,23,18,18,14,,22
GER,8656,Carsten Hehl,Christian Bühring-Uhle,NRV,22,25,25,11,15,BFD,,23
GER,8609,Jörn Wille,Martin Bergmann,MSC,29,30,DNF,17,16,11,,24
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,25,12,24,OCS,22,BFD,,25
GER,7764,Sven-Arne Schönemann,Matthias Fedde,OSG,28,24,26,27,25,17,,26
GER,8317,Christina Burger,Dirk Barteldt,SVO,27,19,22,25,27,BFD,,27
GER,8065,Guido Weiskopf,Tim-Jonas Juettner,SCS 78,26,31,29,28,26,15,,28
GER,8728,Lennart Schirmer,Hein Peters,SGJ,30,26,28,24,30,16,,29
GER,8373,Jörg Kinder,Volkmar Leitzke,RSV,31,32,DNF,29,29,18,,30
GER,8376,Peter Wichtrap,Tobias Frick,,32,27,27,26,28,BFD,,31
GER,8772,Julia Tanner,Moritz Stegmann,HSC,19,28,DNF,DNC,DNC,DNC,,32
