,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,,Platz
GER,9102,Meike Schomäker,Holger Jess,ZSK,6,3,2,5,1,1,3,,,1
GER,8806,Lutz Stengel,Frank Feller,ROYC,9,4,3,1,9,3,1,,,2
GER,8875,Jens Findel,Johannes Tellen,KYC,1,1,12,4,3,10,9,,,3
GER,9054,Morten Bogacki,Lars Dehne,DYC,2,9,5,3,10,20,8,,,4
DEN,8964,Jan Saugmann,Martin Görge,HiS,3,2,1,8,13,15,16,,,5
GER,8927,Ulf Pleßmann,Hans-Heinrich Rix,AYC,8,10,6,19,2,5,12,,,6
GER,8992,Florian Kemper,Leon Oehme,NRV,13,12,10,13,4,2,4,,,7
GER,8580,Julian Stückl,Wolfgang Stückl,DTYC,11,7,13,6,12,7,5,,,8
GER,9035,Stefan Böhm,Gerald Roos,SCV,4,11,23,12,7,18,2,,,9
GER,9059,Sophie Heyer,Sebastian Salein,JSC,15,14,4,2,6,17,15,,,10
GER,9070,Stefan Köchlin,Andreas Achterberg,SKF,5,5,18,7,27,4,18,,,11
GER,8929,Tom Gosch,Rolf Meyer,ENSFV,7,6,8,20,14,11,11,,,12
GER,9020,Tim Böger,Thomas Jung,HSC,10,8,20,9,22,6,7,,,13
GER,8989,Andreas Jungclaus,Thomas Tschentscher,HSC,18,15,11,11,8,8,31,,,14
GER,8928,Stephan Schweiger,Thorsten Koch,SCLW,12,13,28,18,11,14,6,,,15
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,14,16,9,10,16,DNF,13,,,16
GER,9011,Michael Daisenberger,Tobi Bolduan,DTYC,16,18,7,16,15,9,DNC,,,17
GER,8988,Jens Olbrysch,Oliver Thies,HSC,24,20,16,14,21,12,14,,,18
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,17,17,14,17,18,19,20,,,19
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW,21,19,19,15,19,13,35,,,20
GER,8972,Ronald Roos,Morten Roos,SVWu,20,24,15,25,20,16,17,,,21
GER,9043,Nicola Birkner,Angela Stenger,SVaW,28,DNF,17,22,17,21,10,,,22
GER,8962,Nicolai Völckner,Pia Matscheroth-Brodwurm,HSC,DNF,26,22,21,5,25,21,,,23
GER,9046,Hartwig Friedrichs,Antje Gosch,WSCW,19,22,30,23,28,2319,0,,,24
GER,8741,Jürgen Anton,Ulf Denecke,HSC,26,21,24,27,24,22,22,,,25
GER,8874,Henning Steffen,Tilman Giesen,SLRV,25,23,29,28,23,26,23,,,26
GER,8903,Steve Kwee,Thorsten Spötter,HSC,23,25,25,29,26,24,25,,,27
GER,8609,Jörn Wille,Martin Bergmann,MSC,22,27,32,24,25,29,27,,,28
GER,8550,Martha Hauschild,Michael Heyder,SCS,27,28,21,31,32,31,26,,,29
GER,8519,Thure Gnadberg,Aron Tellen,BSV,31,30,37,26,31,27,30,,,30
GER,8437,Davina Schlesiger,Marvin Schlesiger,MSC,30,32,27,30,30,30,34,,,31
GER,7219,Matthias Dachs,Jörn Alberts,HSC,29,31,35,DNF,29,DNF,24,,,32
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,DNF,DNF,26,34,DNF,28,29,,,33
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,DNF,29,33,36,35,33,32,,,34
GER,8932,Christian Henge,Katja Henge,OSG,DNF,DNC,31,32,33,32,DNC,,,35
GER,8531,Anna Hauschild,Lutz Körnig,SCS,DNC,DNC,34,33,34,34,33,,,36
GER,8697,Wilfried Stuis,Thorge Holm,YCN,32,33,38,37,DNF,35,36,,,37
GER,9000,Enno Wilts,Katharina Menge,SVBB,DNF,40,36,35,DNF,DNC,28,,,38
