,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Sum,Platz
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,1,1,2,1
GER,9046,Hartwig Friedrichs,Stefan Schmidt,WSCW,3,2,5,2
GER,8806,Lutz Stengel,Arne Lanatowitz,ROYC,2,4,6,3
GER,8500,Katharina Menge,Jens Kühne,OSG,4,8,12,4
GER,8528,Andre Tirre,Frank Wille,YCS,5,7,12,5
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,6,9,15,6
GER,8531,Anna Hauschild,Maxi Kempermann,SCS,7,1,8,7
GER,8392,Konrad Barop,Dirk Barteldt,RSV,8,12,20,8
GER,8725,Andreas Bock,Rolf Meyer,BYC,OCS 18,3,21,9
GER,8495,Iris Ruhnau,Hein Peters,,10,14,24,10
GER,8376,Peter Wichtrap,Tobias Frick,,12,13,25,11
GER,8825,Michael Troch,Eckart König,SGJ,OCS 18,5,23,12
GER,8458,Konrad Otto,Kay Raum,SGS,11,15,26,13
GER,9000,Enno Wilts,Jan Wiechmann,SVBB,OCS 18,6,24,14
GER,7764,Meike Hermanns,Rainer Gieseler,OSG,13,16,29,15
GER,8317,Christina Burger,Michael Heyder,SVO,9,DNF 18,27,16
GER,8721,Daniel Czeninga,Martin Lietz,FSV 03 eV,OCS 18,11,29,17
