,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,8962,Sophie Söllner,Pia Matscheroth-Brodwurm,CYC,1,3,1,1,,1
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,5,1,2,2,,2
GER,8702,Martin Handel,Volker Böhringer,SGK,3,2,3,3,,3
GER,8463,Mats Westholm,Pedro Bohnenberger,SCLW,2,4,8,5,,4
GER,8666,Michael Kurzeja,Lukas Tanner,BYC,4,5,6,6,,5
GER,8862,Robert Wisolek,C. Pirker,SCLW,7,7,4,7,,6
GER,9021,Georg Geyer,Peter Wolffram,,11,10,5,4,,7
GER,8415,Elmar Neugart,Markus Berecker,SZHB,6,6,9,9,,8
GER,8697,Wilfried Stuis,Thorge Holm,YCN,10,8,7,10,,9
GER,6535,Schulz Richard,Nicolas Fleischmann,YCN,8,9,10,8,,10
GER,6610,Stefan Krumm,Uwe Krumm,SSCM,9,11,11,11,,11
