Country,Boat Number,Helm,Crew,Club,Race 1,Points Netto,Place
FRA,19,M. Hannequin,,Y.C.I.F.,,7405,1
FRA,6,B. Cheret,,C.V.Mx.,,5900,2
FRA,454,P. Levéque,,Y.C.I.F.,,4895,3
FRA,321,J. Cettier,,C.V.P.,,4469,4
FRA,308,Patrick Wolff,,C.V.P.,,3673,5
,0,G. Vance,,,,3314,6
,0,J. L. Ligonnet,,,,3071,7
BEL,14,A. Van den Abeele,,,,2942,8
,0,P. Cheret,,,,2911,9
,0,A. Maes,,,,2604,10
,0,Ph. Ducassou,,,,2510,11
,0,Fr. Massen,,,,2352,12
FRA,308,Marcel Buffet,,,,2226,13
,0,Ch. Duvelleroy,,,,2043,14
,0,H. Leten,,,,1993,15
,0,G. Lorthiois,,,,1897,16
,0,P. Leten,,,,1841,17
,0,E. Tournier,,,,1389,18
,0,Paternault,,,,1333,19
,0,P. Honoré,,,,1114,20
,0,Bonnemaison,,,,1063,21
,0,Devilder,,,,905,22
FRA,0,Thierry Moreau-Defarges,,,,839,23
,0,J. Hebbelynck,,,,797,24
