,Sail-no,Helmsman,Crew(s),,Cavalaire,Riva del Garda,Kielerwoche,Kaløvig,Points,Place
GER,8903,Herrman Boris,Kleiner Julien,,4,126,2,2,8,1
GER,8518,Fischer Helen,Brodwurm Pia/Robert Rothe,,26,18,10,6,34,2
DEN,8849,Larsen Per,Andersen Henrik,,126,24,17,3,44,3
GER,8531,Troch Michael,Konig Echart,,10,126,23,15,48,4
DEN,8828,Andersen Jon,Andreasen Lasse,,126,22,18,11,51,5
DEN,8826,Bojland Tom,Rasmussen Helge,,24,126,22,10,56,6
GER,8843,Hufnagel Jens,Dehne Lars,,126,14,45,13,72,7
DEN,8440,Christiansen Mikkel,Christiansen Mads,,126,28,34,12,74,8
DEN,8416,Buhl Henrik,Rodholm Johnny,,126,27,30,20,77,9
FRA,8771,Philippe Boite,Fabrice Toupet,,1,3,5,126,130,10
GBR,8882,Pinell Ian,Stene Hunt,,2,2,126,126,130,11
DEN,8620,Saugmann Jan,Ramsbæk Morten,,126,126,1,4,131,12
DEN,8923,Bojsen-Møller Jørgen,Bojsen-Møller Jacob,,126,4,126,1,131,13
GER,8875,Findel Jens,Tellen Johannes,,126,126,4,5,135,14
SUI,8729,Stauffer Florian,Jacot Philippe,,3,9,126,126,138,15
GBR,8881,Scutcher Terry,Dietsch Christian,,7,5,126,126,138,16
GER,8580,Kellner Christian,Achterberg Andreas,,6,6,13,126,138,17
GER,8862,Böhm Stefan,Roos Gerald,,126,1,15,126,142,18
GER,8720,Filimonow Dirk,Stoeckmann Lars,,126,11,6,126,143,19
GER,8901,Sollner Sophie,Stuckl Wolfgang,,8,126,20,126,154,20
SUI,8569,Betschen Rene,Ducommun Patrick,,9,20,126,126,155,21
GER,8580,Mühlbauer Markus,Acherberg Andreas,,126,13,16,126,155,22
GER,8915,Plattner Hasso,Alarie Peter,,126,126,21,8,155,23
GBR,8835,Walters Charlie,Cram Dougal,,17,16,126,126,159,24
GER,8651,Lehmann Claas,Schoeler Martin,,126,8,27,126,161,25
GER,8669,Boeger Tim,Jung Thomas,,126,10,26,126,162,26
GER,8463,Achterberg Frieder,Klug Thomas,,28,12,38,126,166,27
GER,8874,Waldheim Jurgen,Heechen Klaus,,23,126,126,18,167,28
FIN,7935,Hamstroem Jari,Laurila Tuomas,,126,126,29,16,171,29
GER,8747,Thumann Jorg,Stieglitz Oliver,,16,126,37,126,179,30
GER,8788,Lahrs Karsten,Gerdts Peter,,29,126,32,126,187,31
GER,8672,Contag Karsten,Vin Walter Guido,,30,31,126,126,187,32
SUI,8614,Froidevaux Marc,Jacot Valery,,35,29,126,126,190,33
DEN,8551,Sørensen Kim,Sand Flemming,,126,126,48,21,195,34
GER,8530,Von Mertens Alexander,Weisbauer Pia,,36,40,126,126,202,35
GBR,8907,Berry Jim,Barnes Dave,,49,30,126,126,205,36
GER,8522,Lehning Hannes,Fuchs Christoph,,126,32,49,126,207,37
GER,8418,Sell Jan,Gewinn Wiebke,,126,36,46,126,208,38
GER,8674,Bohnenberger Pedro,Weichbron Kersten,,50,43,126,126,219,39
GER,8916,Köchlin Stefan,Priegann Axel,,126,126,3,126,255,40
SUI,8543,Bart Cederic,Marti Veli,,5,126,126,126,257,41
GER,8728,Görge Martin,Görge Reiner,,126,7,126,126,259,42
GER,8876,Hunger Wolfgang,Jess Holger,,126,126,7,126,259,43
GER,8728,Maike Schomäker,Rainer Görge,,126,126,126,7,259,44
GER,8665,Lars Bähr,Urs Wihlfahrt,,126,126,8,126,260,45
GER,8466,Niediek Volker,Heising Stefan,,126,126,9,126,261,46
DEN,8736,Anders Friis,Jesper Ernst,,126,126,126,9,261,47
GER,8744,Plessmann Ulf,Rix Hans-Heinrich,,126,126,11,126,263,48
FRA,8895,Pierre-Jean Gallo,Viateur Regis,,11,126,126,126,263,49
GER,8728,Dietrich Scheder-Bieschin,Görge Rainer,,126,126,12,126,264,50
GBR,8834,Short Russe,Short Andrew,,12,126,126,126,264,51
GBR,8908,Upton Brown Mark,Mitchel Ian,,13,126,126,126,265,52
GER,8686,Niefert Christian,Weber Thomas,,126,126,14,126,266,53
GER,8751,Hastmann Melanie,Stenger Angela,,14,126,126,126,266,54
POL,7539,Kuba Pawluk,Piotr Zoltowski,,126,126,126,14,266,55
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,,15,126,126,126,267,56
GBR,8836,Brown Robin,Fulcher Neil,,126,15,126,126,267,57
FRA,8870,Christian Silvestre,Vallaud Christian,,16,126,126,126,268,58
GBR,8905,Turnbull Stuart,Lunn Jason,,126,17,126,126,269,59
DEN,8495,Jesper Legind Larsen,Allan Andreasen,,126,126,126,17,269,60
GER,8807,Unkelbach Franziska,Bogacki Wolfgang,,18,126,126,126,270,61
GER,8670,Goerge Martin,Klaus Köhnlein,,126,126,19,126,271,62
GBR,8885,Lake Simon,Iliffe Ben,,19,126,126,126,271,63
GER,8665,Schlomka Fritz,Urs Wihlfahrt,,126,19,126,126,271,64
DEN,8601,Jonas Christiansen,Mikkel Bardram,,126,126,126,19,271,65
GER,8693,Daisenberger Micki,Lautenslager Florian,,20,126,126,126,272,66
GER,8539,Schultz Hendrik,Oberlanender Ute,,21,126,126,126,273,67
GER,8663,Dasenbrook Norbert,Meier Sven,,126,21,126,126,273,68
GER,8625,Cross Alex,Brann Falko,,22,126,126,126,274,69
SWE,8837,Tord Lawner,Douglas Wangdal,,126,126,126,22,274,70
GER,8777,Schollmayer Stefan,Sanguino Frisco,,126,23,126,126,275,71
GER,8609,Holzapfel Alexander,Worm Stefan,,126,126,24,126,276,72
GER,8725,Gosch Tom,Meier Rolf,,126,126,25,126,277,73
FRA,8748,Gubri Serge,Carvallo Gilles,,25,126,126,126,277,74
GBR,8885,Holtzapfel Stefan,Lake Simon,,126,25,126,126,277,75
GBR,8773,Smith Andrew,Byrd Norman,,126,26,126,126,278,76
FRA,8321,Loyal Bertrand,Bouillet Frederic,,27,126,126,126,279,77
GER,8563,Horstmann Melanie,Dreier Cornelia,,126,126,28,126,280,78
GER,8711,Maisenbacher Markus,Kruse Lars,,126,126,31,126,283,79
GER,8777,Nils Burghard,Sanguino Frisco,,31,126,126,126,283,80
FRA,8695,Puissant Jean-guy,Chartier Simon,,32,126,126,126,284,81
GER,8642,Greger Thoralf,Klein Christoph,,126,33,126,126,285,82
FRA,7849,Gachet Claude,Valery Kleber,,33,126,126,126,285,83
GER,8775,Müllejans Christian,Engel Carsten,,126,126,33,126,285,84
GER,8519,Wisolek Robert,Klapper Timo,,126,34,126,126,286,85
FRA,7941,Brenet Veronique,Peter Jean-Pierre,,34,126,126,126,286,86
SWE,8912,Nilsson Magnus,Karlsson Andreas,,126,126,35,126,287,87
GER,8721,Seikel Martin,Becker Norbert,,126,35,126,126,287,88
GER,8478,Christophersen Malte,Salein Sebastian,,126,126,36,126,288,89
GER,8579,Rentelmann Hans-Jürgen,Wackerbauer Peter,,126,37,126,126,289,90
GBR,8869,Wedge Martin,Allen Scott,,37,126,126,126,289,91
FRA,8676,Marcel Buffet,Rossignol Pascal,,38,126,126,126,290,92
GBR,8745,Pearson Chris,Rainsborough Frank,,126,38,126,126,290,93
FRA,8603,Chartier Jean Philippe,Chartier Alain,,39,126,126,126,291,94
GER,8675,Görge Volker,Morf Karsten,,126,126,39,126,291,95
GER,8507,Grosskurth Benjamin,Koch Thorsten,,126,39,126,126,291,96
GER,8758,Meier-Kothe Christian,Paul Jaekel,,126,126,40,126,292,97
FRA,8444,Guibbal Jean Louis,Guibbal Mathieu,,40,126,126,126,292,98
GER,8825,Eismann Armin,Käcks Tino,,126,126,41,126,293,99
GER,7661,Hoell Tina,Wilhelm Alexander,,126,41,126,126,293,100
SUI,8079,Nydegger Lorenz,Nydegger Martin,,41,126,126,126,293,101
FRA,8847,Boiry Michel,Finet Xavier,,42,126,126,126,294,102
ITA,8097,Giraldi Marco,Airoldi Massimiliano,,126,42,126,126,294,103
GER,8904,Hauschild Martha,Wehden Daniel,,126,126,42,126,294,104
GER,8712,Labenz Siegfried,Labenz Christian,,43,126,126,126,295,105
GER,8560,Christiane Giefers,Holm Thorge,,126,126,43,126,295,106
GBR,7566,Schluter Olav,Schluter Andreas,,126,44,126,126,296,107
FRA,8820,Lehmann Robert,Edel Bernard,,44,126,126,126,296,108
GER,8570,Kodisch Alexander,Heucke Stephan,,126,126,44,126,296,109
SUI,8375,Nydegger Martin,Bacher Samuel,,126,45,126,126,297,110
GER,8473,Kraft Olivier,Heimburger Frank,,45,126,126,126,297,111
GBR,8435,Mcgale Patrick,Cull Alex,,126,46,126,126,298,112
FRA,8623,Daugey Gerard,Rouanne Dominique,,46,126,126,126,298,113
FRA,8400,Faucheux Florian,Faucheux Cedric,,47,126,126,126,299,114
GER,8458,Madeheim Helmut,Krause Jens,,126,126,47,126,299,115
LUX,8534,Kiefer Pierre,Tousch Jean Paul,,48,126,126,126,300,116
GER,8730,Stuempel Karsten,Wilts Enno,,126,126,50,126,302,117
GER,8392,Barop Konrad,Rauno Justus,,126,126,51,126,303,118
GER,8327,Frank Dirk,Kempf Stefan,,51,126,126,126,303,119
GER,8450,Feuerhake Jürgen,Nehrenberg Anne,,126,126,52,126,304,120
FRA,5464,Delsemme Michel,Hermieu Jean Philippe,,52,126,126,126,304,121
GER,8388,Wolffram Peter,Matscheroth Michael,,53,126,126,126,305,122
GER,8697,Stuis Wilfried,Szesny Caroline,,54,126,126,126,306,123
GER,833*,Wahler Alexandra,Kramer Michael,,55,126,126,126,307,124
GER,8204,Jordan Fiona,Pieper Thorsten,,56,126,126,126,308,125
