Nat,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,Total,Nett,Rank
SWE,9181,Malin Broberg,Johan Röök,BKSS,"2","1","2","1",[3]),"9","6",1st
SWE,8962,Peter Bökmark,Martin Persson,BKSS,[12]),"4","1","4","2","23","11",2nd
DEN,9055,Fabiola Wontgerhem,Michael Wonterghem,Holbæk sejlklub,"4","2","3","3",[6]),"18","12",3rd
SWE,8926,Ebbe Rosén,Olle Wenrup,MKS,"1","5","7","2",[13]),"28","15",4th
SWE,8859,Tomas Berg,Johan Calvert,BKSS,"3",[7]),"4","5","4","23","16",5th
SWE,9002,Per Wester,Lars Wester,,[8]),"3","8","6","1","26","18",6th
SWE,9171,Martin Fridh,Mats Dahlander,RJK LBSK,"9","6","5",[10]),"9","39","29",7th
SWE,9259,Tore Reinhold,Mikael Gustafsson,BKSS,[14]),"8","9","7","5","43","29",8th
DEN,9025,Christian Sejlman,Henrik Kock Thomasen,Middelfart sejlklub,"6","10",[11]),"11","7","45","34",9th
SWE,8923,Lars Hultgren,Axel Hultgren,RJK,"11",[12]),"6","9","8","46","34",10th
DEN,8232,Jonas Christiansen,Henrik Buhl,Hellerup sejlklub,"5",[14]),"12","12","10","53","39",11th
SWE,9038,Jakob Lindvall,Karl Byrenius,AASLK,"7","9",[13]),"13","12","54","41",12th
SWE,9092,Tom Hastenpflug,Knut Hastenpfflug,SSÅ,[15]),"11","14","8","11","59","44",13th
SWE,9013,Anders Nilsson,Jonas Palmkvist,ABBK,"10",[15]),"10","14","14","63","48",14th
SWE,8974,Thomas Widstrand,Rolf Mattsson,SSÅV BKSS,"13","13",[16]),"15","15","72","56",15th
SWE,8694,Oscar Johansson,Hugo Johansson,MSS,[16]),"16","15","16","16","79","63",16th
