Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Boat Name,Points Total,Points Netto,Place
SWE,9002,Per Wester,Lars Wester,BKSS,1,2,2,,0,5,1
SWE,8962,Peter Bökmark,Martin Persson,BKSS,2,1,3,,0,6,2
SWE,9259,Mikael Gustafsson,Tore Reinhold,BKSS,3,3,1,,0,7,3
SWE,8974,Thomas Widstrand,Rolf Mattsson,BKSS,4,4,4,,0,12,4
