Country,NR,Rorsman,Gast,Klubb,Segling 1,Segling 2,Segling 3,Segling 4,Segling 5,Segling 6,Summa,NET,Placering
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbaek SK,2,1,1,[6],1,1,12,6,1
SWE,9181,Malin Broberg,Johan Röök,BKSS,1,3,[4],1,3,4,16,12,2
SWE,9002,Per Wester,Lars Wester,BKSS,[17],6,2,4,2,3,34,17,3
SWE,9143,Thomas Lundberg,Johan Strömdahl,KSSS,[17],2,3,2,6,6,36,19,4
DEN,9025,Christian Seilman,Henrik Kock Thomasen,Middelfart SK,4,[9],5,3,5,5,31,22,5
SWE,9171,Martin Fridh,Mats Dahlander,RJK,[17],5,6,5,7,7,47,30,6
SWE,9029,Mikael Olesen,Ulf Camitz,VBK/KSSS,[17],12,7,7,4,2,49,32,7
SWE,9038,Jakob Lindvall,Karl Byrenius,AASLK,3,[10],9,8,9,9,48,38,8
SWE,9013,Anders Nilsson,Jonas Palmkvist,ABBK/LBSK,[17],7,8,9,8,8,57,40,9
SWE,6709,Jakob Wikström,Anders Wikström,MtSS,[17],14,13,10,10,10,74,57,10
SWE,8116,Hans Sidén,Olof Backman,MtSS,[17],15,14,11,11,17,85,68,11
SWE,9117,Fredrik Molander,Thomas Jaxing,BKSS,[17],8,10,17,17,17,86,69,12
SWE,8962,Peter Bökmark,Martin Persson,BKSS,[17],4,17,17,17,17,89,72,13
SWE,8974,Thomas Widstrand,Rolf Mattsson,BKSS,[17],11,11,17,17,17,90,73,14
SWE,8917,Jesper Fowelin,Patrik Linder,ÖLSS/BKSS,[17],13,12,17,17,17,93,76,15
SWE,8419,Tomas Tegethoff,Maria Dansdotter,VBK,[17],17,17,17,17,17,102,85,16
