Nation,Sail No,Driver,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Final,Place
USA,8610,Nick Trotman,Mike Mills,,3,2,1,1,2,5*,1,1,2,18,13,1
USA,7318,Zack Leonard,Peter Alarie,,2,1,6,2,1,8*,2,2,1,25,17,2
USA,8083,Neal Fowler,Dave Dyson,,1,6*,2,4,4,1,4,5,4,31,25,3
USA,1*,Tyler Moore,Charlie Van Voorhis,,5,3,3,3,5,3,3,4,6*,35,29,4
USA,8060,Tim Collins,Bill Smith,,4,4,4,5,3,4,5,3,9*,41,32,5
USA,7358,Nicolle Breault,Dave Peck,,9,5,8,6,7,2,8,11 DNS*,5,61,50,6
CAN,8194,Tom Kivney,Tom Russell,,6,7,5,8*,6,7,7,6,7,59,51,7
USA,7357,Chris Follansbee,Curtis Follansbee,,7,8,7,7,9,11*,6,7,3,65,54,8
USA,7100,Andrew Crocker,Chris Tackas,,8,10*,9,9,8,6,9,8,8,75,65,9
USA,7199,Stergios Papadakis,Eric Johnson,,10*,9,10,10,10,9,10,9,10,87,77,10
USA,8311,Mark McCarthy,Chris Yirera,,11 DNS*,11,11,11 DNS,11 DNS,10,11,11 DNS,11 DNS,97,86,11
