Nation,Sail,Driver,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Place
USA,8263,Ali Meller,Allan Johnson,,2,0.75,0.75,2,2,7.5,1
USA,8012,Henry Amthor,Doug Amthor,,0.75,2,2,3,0.75,8.5,2
USA,8191,Macy Nelson,Tom Russell,,3,4,5,1,3,15.75,3
USA,7772,Barney Harris,Jesse Falsone,,4,3,3,,,,4
ZIM,0,John Wyles,Paul Cronin,,,4,,,,,5
USA,8085,Rene de la Rie,A.J. Piccillo,,,,,,,,6
USA,7148,Peter Mignerey,Eric Johnson/Les Crane,,,,,,,,7
USA,7199,Sterg Papadakis,Steven Brown/Jack Mandel,,,,,,,,8
USA,7776,Bob O'Brien,Bill Gross/Betsy O'Brien,,,,,,,,9
USA,8058,Mark Freedman,Phillipe Goubalt,,,,,,,,10
NZL,8*,Paul Heads,Brian Debrincat,,,,,,,,11
USA,8015,Monty Schumpert,Craig Schumpert,,,,,,,,12
