Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Points,Place
USA,7092,Ken Elliott,Alan Kilgore,,4,4,1,2,10.75,1
USA,7346,Jim Englert,Thad Melton,,3,4,4,1,10.75,2
USA,7092,Gary Bodie,Ali Meller/Kevin Eley,,1,1,5,5,11.5,3
USA,8012,Henry Amthor,Doug Amthor,,2,2,2,8,14,4
USA,8191,Macy Nelson,Jesse Falsone,,5,5,6,3,20,5
USA,7776,Bob O'Brien,Betsy O'Brien,,6,3,3,,21,6
NZL,,Paul Heads,Chris Ryan,,,,,4,,
USA,,Fred Sage,Glen Gates,,,,,6,,
