Nation,Sail,Skipper,Crew,Club,R1,R2,R3,R4,R5,R6,R7,Total,After Drop,Pos.
USA,8012,Henry Amthor,Doug Amthor,Hampton Yacht Club,0.75,2,0.75,0.75,0.75,2,0.75,7.75,5.75,1
USA,8263,Ali Meller,Eric Johnson,,3,0.75,3,4,2,5,3,20.75,15.75,2
USA,7346,Jim Englert,Thad Melton,,2,6,5,3,4,3,2,25,19,3T
USA,8191,Macy Nelson,Sterg Papadakis / Peter McChesney,,5,3,2,2,3,6,4,25,19,3T
USA,7772,Barney Harris,Jessie Falsone / Sterg Papadakis,,6,4,4,5,6,0.75,5,30.75,24.75,5
USA,808*,Paul Heads,Chris Ryan,,8,5,6,6,5,7,7,44,37,6
USA,8085,Rene de la Rie,Merv Richards,,4,8,PMS (13,9,7,9,8,58,45,7
USA,7148,Peter Mignerey,George Saunders,,9,9,7,8,8,8,6,55,46,8
USA,8058,Mark Freedman,Phillipe Goubalt,,7,7,8,7,DNS,DNS,DNS,,51,9
USA,7776,Bob O'Brien,Bill Gross,,11,10,9,10,DNS,DNS,DNS,,51,10
USA,8015,Monty Schumpert,Craig Schumpert,,10,12,10,11,9,4,9,65,53,11
USA,6987,Jennifer Baltz,Austin Cole,,12,11,11,DNS (12),DNS,DNS,DNS,,67,12
USA,4565,Andrew Cole,Dirk Scwenk / Chris Harvey,,13,DNF (13),DNF (13),DNS (12),10,10,10,,68,13
