Nation,Sail #,Skipper,Crew,Club,Race 1,Race 2,Race 3,Points,Place
USA,8263,Ali Meller,Allan Johnson,,0.75,3,0.75,4.5,1
USA,8012,Henry Amthor,Steven Hunt,,3,0.75,4,7.75,2
USA,7346,Jim Englert,Thad Melton,,4,4,2,10,3
USA,7092,Gary Bodie,Ken Elliott,,2,6,3,11,4
NZL,8*,Paul Head,Chris Ryan,,5,2,5,12,5
CAN,7148,Mignerey,Saunders,,7,7,8,22,6
USA,7*,Dussia,Dussia,,8,8,7,23,7
USA,7776,Bob O'Brien,Betsy O'Brien,,DNS (15),5,6,26,8
USA,7554,Gary Van Tassel jr.,Gary Van Tassel,,9,10,9,28,9
USA,7569,Rob Robinson,Robinson,,DNS (15),9,10,34,10
USA,6987,Jennifer Baltz,Austin Bishop,,10,11,13,34,11
USA,8014,Gundlach,Gundlach,,7,DNS (15),DNS (15),37,12
USA,3164,Clark Dennison,Scott Collins ,,DNS (15),12,11,38,13
USA,6495,Greg,,,,,,,14
