Sail,Number,Team,,Club,R1,R2,T,N,Nr
GER,9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,3,1,4,4,1
GER,9182,Alexander Holzapfel,Finn Boeger,PSVK,2,4,6,6,2
GER,9198,Christian Kellner,Johannes Tellen,HSC,1,6,7,7,3
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,5,3,8,8,4
GER,9133,Frederik Schaal,Felix Diesch,SMCUE,4,5,9,9,5
GER,9101,Timon Treichel,Morten Roos,SVWU,7,7,14,14,6
GER,8861,Wolfgang Seifert,Ivonne Seifert,SCLW,8,8,16,16,7
GER,9114,Mats Westholm,Pedro Bohnenberger,SCLW,6,11,17,17,8
GER,9197,Nicola Birkner,Angela Stenger,VSAW,17.0DNF,2,19,19,9
GER,8658,Christina Wilhelm,Alexander Wilhelm,HSC,10,9,19,19,10
GER,8580,Verena Achterberg,Julia Achterberg,DTYC,12,10,22,22,11
GER,8712,Stefan Krumm,Uwe Krumm,SSCM,11,12,23,23,12
GER,8975,Maike Roos,Maren Roos,SVWU,9,17.0DNC,26,26,13
GER,8990,Ralf Breitenfeldt,Thore von Puttkamer,HSC,13,13,26,26,14
SUI,8997,Christoph Bökle,Michael Marker,SSCM,14,14,28,28,15
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,17.0DNC,15,32,32,16
