Nation,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Pl.,,,,
GER,9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,1,3,2,1,3,,1
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,4,1,1,3,4,,2
GER,9197,Nicola Birkner,Angela Stenger,SVaW,2,2,5,6,1,,3
GER,9070,Earle Alexander,Andreas Achterberg,RQYS,3,6,3,2,2,,4
GER,9100,Nathalie Friedrich,Claudius Zeiler,SCLW,7,8,4,4,5,,5
GER,9133,Frieder Achterberg,Julia Achterberg,DTYC,5,5,7,5,BFD,,6
GER,189*,Friederike Meyer,Thorsten Koch,SCLW,6,4,8,DNF,9,,7
GER,8861,Wolfgang Seifert,Ivonne Seifert,SCLW,10,11,6,8,7,,8
GER,9114,Mats Westholm,Pedro Bohnenberger,SCLW,8,9,12,7,8,,9
GER,8934,Frank Beier,Hubertus Ritter,SCLM,13,12,9,9,6,,10
GER,8862,Robert Wisolek,C. Pirker,SCLW,9,7,10,14,DNC,,11
GER,8518,Achim Funk,Jochen Heydolph,SCLW,11,13,11,12,11,,12
GER,8990,Ralf Breitenfeldt,Thore von Puttkammer,HSC,12,14,15,10,12,,13
GBR,9159,Eller Michael,Ulrike Heerdegen,,DNF,16,13,11,10,,14
GER,8712,Stefan Krumm,Uwe Krumm,SSCM,15,15,14,13,13,,15
GER,8672,Dirk Hütten,Guido von Walter,,14,10,DNF,DNC,DNC,,16
