,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,Total,Nett,Rank
RSA,8520,Rudolph Holm,Ferdinand Holm,PSC,(3.0),3,2,1,1,10,7,1st
RSA,8445,Kyle Klaas,Robert van Groenewaldt,PSC,1,1,(3.0),2,3,10,7,2nd
RSA,8481,Peter Funke,Thomas Funke,PSC,2,2,1,3,(5.0),13,8,3rd
RSA,7493,Mark Biagio,Colin Becker,PSC,5,4,5,(6.0),2,22,16,4th
RSA,8707,Albrecht Holm,Scott Quamby,PSC,4,5,4,4,(11.0 DNF),28,17,5th
RSA,8789,Anthony Murray,Eddie Forster,PSC,(6.0),6,6,5,4,27,21,6th
RSA,5889,Craig Teasdale,C-J Milne,LDYC,7,(8.0),7,8,6,36,28,7th
RSA,8471,Andrew Fraser,Warwick Ham,PSC,(9.0),9,9,7,7,41,32,8th
RSA,8121,Jay Dengle,Kobus Holtzhausen,PSC,8,7,8,(11.0 DNC),11.0 DNC,45,34,9th
RSA,8440,Andrew Arthur,Graham Moore,PSC,10,(11.0 DNF),11.0 DNS,11.0 DNC,11.0 DNC,54,43,10th
