Nat,SailNo,Helm,Crew,Club,"R1
 ","R2
 ","R3
 ","R4
 ","R5
 ","R6
 ","R7
 ","R8
 ","R9
 ",Boat,Total,Nett,Rank
RSA,8481,Peter Funke,Thomas Funke,PSC,(3.0),1,1,1,(4.0),1,2,1,1,Gus,15,8,1st
RSA,8520,Rudolph Holm,Ferdinand Holm,PSC,1,2,2,2,1,(3.0),(4.0),2,2,Geelslang,19,12,2nd
RSA,8584 (8882)*,Hans Rogotzki,Alan Haylett,PSC,2,3,3,3,3,2,1,(4.0),(5.0),Flying Freddie,26,17,3rd
RSA,7682,Robbie Willcox,Ditmar Herrmann,VLC,4,4,(DNC),4,2,5,3,(7.0),3, ,46,25,4th
RSA,8471,Alexander Ham,Warwick Ham,PSC,6,(7.0),6,7,7,4,5,3,(9.0),Pink Something,54,38,5th
RSA,8445,Kyle Klaas,Dylan Leroux,PSC,(9.0),6,4,5,5,8,7,(DNF),4,BRT,62,39,6th
RSA,8707,Albrecht Holm,Cj Milln,PSC,5,5,5,6,(9.0),7,(8.0),6,6,Aitsa,57,40,7th
RSA,7493,Mark Biagio,Scott Quarmby,PSC,7,(9.0),(DNF),8,6,6,6,8,8,Azzurri,72,49,8th
RSA,6707,Bronwen Klaas,Tim Gibbons,PSC,(DNF),8,7,(9.0),8,9,9,5,7,Coastal Flyer,76,53,9th
RSA,8789,Tony Murray,Antonio,PSC,10,(11.0),9,(11.0),10,11,10,9,10,Flob A Lob,91,69,10th
RSA,4902 (8808)*,Jay D'engle,Colin Becker,LDYC,8,10,8,10,11,10,(DNC),(DNC),DNC,Harken,99,71,11th
RSA,5889,Andrew Fraser,Jonathan Baer,PSC,11,12,10,12,12,12,11,(DNF),(DNC),RazzMataZZ,108,80,12th
RSA,8440,Andrew Arthur,,EYC,12,(DNF),(DNC),DNC,DNC,DNC,DNC,DNC,DNC,Entente Cordiale,124,96,13th
