Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,,,Place
USA,7771,Hamlin,Martin,,1,1,2*,1,1,1,2,,7,1
USA,8680,Edwards,Shelton,,2,2,3*,2,2,2,1,,11,2
USA,8643,Harris,Falsone,,3,3,1,6*,3,5,4,,19,3
CAN,8681,Robin Brown,Ben Benjamin,,6,4,4,3,9*,3,3,,23,4
USA,8012,Henry Amthor,Rob Montague,,4,5,10*,4,4,4,5,,26,5
USA,8722,Macy Nelson,Art Gleason,,5,6,5,5,5,8*,6,,32,6
USA,6227,Harris,Mehran,,7,9*,6,8,7,6,8,,42,7
USA,7346,Latane Montague,John Zakaib,,8,8,8,7,6,7,9*,,44,8
USA,7606,Mackay,Treadwell,,9,7,7,DNF*,10,10,10,,53,9
USA,7879,James,Romey,,10,10,9,9,8,11,DNF*,,57,10
USA,7151,VanLandingham,Keckler,,11,11,11,10,11,9,DNF*,,63,11
USA,8011,Steve Eller,David Jacob,,13,DNF*,13,DNC,DNC,DNC,7,,78,12
USA,7318,Richard Peck,Allen Wilson,,12,DNF*,12,11,DNF,DNC,DNC,,80,13
USA,8610,W. Mason,Eric Knight,,DNF*,DNC,DNF,DNC,DNC,DNC,DNC,,90,14
