Nation,Boat no,Helm,Crew,Club,Race 1,Points,Place
FRA,2799,Pillon,Pillon,C.V.Centre,,3,1
FRA,4273,Doloy,Lazennec,C.V.P.,,14,2
FRA,4308,Guyot,Jacoutet,C.V.E.S.Q.,,17.4,3
FRA,3010,Fixot,Van Den Brok,C. V.Meaux,,18.7,4
FRA,3644,Souvestre,Souvestre,C.V.Meaux,,19,5
