Nation,SailNo,Helm,Crew,Club,R1,Nett,Rank
USA,6933,Steve Benjamin,Tucker Edmundson,,,17,1
USA,7152,Jon Andron,Howard Hamlin,,,21,2
GBR,7189,Peter Colclough,Harold Barnes,,,26.7,3
SWE,6718,Krister Bergstrom,Kjell Lidman,,,34.7,4
SWE,7145,Steffan Eklund,Anders Eklund,,,42.7,5
AUS,7020,Terry Kyrwood,Reg Crick,,,44.4,6
IC,7004,Eddie Owen,Andy Gray,,,48.7,7
USA,6992,Jeff Miller,Tom Poore,,,55.7,8
GBR,7089,Peter White,Andrew Gilmore,,,55.7,9
SWE,7033,Ebbe Rosen,011e Wenrup,,,56.7,10
GBR,7146,Phil Milanes,John Davis,,,57.7,11
USA,7059,Dennis Surtees,Jay Kuncl,,,71,12
DEN,7143,Jorgen Schonherr,Anders Kaempe,,,74,13
HKG,7186,Cees Nater,John Best,,,95,14
GBR,7170,Mike Hattemore,Mike Payne,,,95,15
POR,6572,Francis Doerenbecher,Gay Bottlaender,,,98,16
USA,7068,Bruce Ayres,Don Ayres,,,100,17
GBR,7010,David Pitman,David Henshall,,,101,18
USA,7096,Tony Wattson,Phil Ramming,,,102,19
FRA,6822,Jérôme Langlois,Philippe Sérane,,,110,20
GER,7159,Stefan Waskonig,Ralph Zecher,,,113,21
USA,6496,John Pulvermann,Duncan Skinner,,,124,22
GER,7005,Matthias Dietz,Waldemar Strohmayer,,,126,23
GBR,6961,David White,John Labbett,,,127,24
GBR,7182,Paul Willmott,Neil Willmott,,,127,25
FRA,6620,Francois Fischer,Claudel Phillips,,,130,26
DEN,6791,Lars Lonberg,Lars Kier,,,130,27
GBR,7187,Michael Lawton,Terry Lawton,,,133,28
USA,7091,Derek Campbell,Wade Cressman,,,139,29
USA,6988,Jim Wondolleck,Bruce Hellman,,,142,30
SUI,7028,Urs Scherrer,Reto Walser,,,142,31
AUS,7017,Robert Jones,Geoff Lenge,,,144,32
FRA,6589,Marcel Buffet,J.P. De Beaumont,,,146,33
GBR,6980,Neil Thomas,Mike Moor,,,149,34
GBR,6518,David Revill,Nigel Brackenbury,,,153,35
GER,6398,Alexander Hagen,Ludwig Groeneveld,,,158,36
GER,7085,Stefan Kurys-Romer,Peter Forster,,,158,37
HKG,7180,Eric Lockeyer,Tim Hammick,,,165,38
SUI,6471,Lucien Keller,Georges Gay-Pierre,,,166,39
FRA,7122,Bernard Oudard,Denis Oudard,,,166,40
GBR,6688,David Treloar,Nigel Treloar,,,168,41
FRA,6963,Serge Gobir,Christian Lippi,,,168,42
SWE,7166,Anders Malmstron,Stefan Blidner,,,171,43
GBR,6851,Julian Hereward,John Langley,,,176,44
GBR,7077,Peter Bainbridge,Jamie Campbell,,,180,45
IRL,7013,Wicliff McCready,R.Swainston,,,183,46
GBR,7106,David Clark,Richard Bartholomew,,,183,47
GBR,6853,William Goodacre,Nigel Squirrell,,,187,48
SUI,7078,Christen Ruedi,Mathis Ruedi,,,188,49
DEN,6795,Michael Staal,Erik Lund,,,189,50
DEN,7140,Henrik Anderson,Soren Andersen,,,195,51
SWE,6621,Karl Erik Nilsson,Jan Calvert,,,196,52
CAN,6910,S.D. Lewis,Stephen Peters,,,200,53
GBR,7109,Richard Lord,B. Arell,,,200,54
FRA,7053,Sylvain Pellissier,Eric Levrat,,,205,55
SWE,6829,Thomas Widstrand,Gunnar Andersson,,,206,56
FRA,7121,Remi Tristan,Gwenola Tristan,,,206,57
FRA,6913,Yves Pottier,Jean Nadaud,,,210,58
RSA,6641,Peter Cardwell,Roger Warner,,,211,59
FRA,6179,Marc Conan,Eric Conan,,,218,60
FRA,5969,Michel Dorae,Phillip Correard,,,230,61
FRA,7172,Gilbert Vinches,Phillippe Rinaldi,,,230,62
GBR,6844,Ricky Willows,John Maddocks,,,242,63
FIN,7049,Stefan Winquist,Per Strömman,,,243,64
GBR,6544,Graham Thomas,Ken Norris,,,251,65
FRA,6732,Jean-Pierre Cordonnier,Alain Cordonnier,,,252,66
RSA,5625,Rob Wilcox,Ditmar Hellman,,,253,67
GER,6505,Ewald Bizoska,Hanno Barth,,,261,68
SUI,6576,Marc Collomb,Yvan de Rham,,,268,69
AUS,6706,Alan Bessell,John Tunney,,,268,70
BEL,6437,Marc Stockbroekx,Herman Stockbroekx,,,269,71
FRA,6811,E. de Cayeux,Y. Bezot,,,269,72
SUI,6947,Urs laudbli,Christoph Spalti,,,274,73
SUI,7118,Pierre Baldenweg,Francois Baldenweg,,,275,74
GBR,6952,Derek Farrant,Bev Moss,,,275,75
GER,6940,Ulrich Novak,Frank Uhlemann,,,287,76
FRA,6600,Jacques Raguet,Samuel Thomas,,,290,77
RSA,6712,Leo Ehlers Jnr,Leo Ehlers,,,296,78
GER,6930,Brigitte Preuss,Rolf Bertenrath,,,297,79
FIN,6133,Aarne Kuusi,Paul Evominen,,,300,80
RSA,6686,Harry Elbers,Martin Knopp,,,312,81
GBR,7007,Ian Henry,Mike Henry,,,330,82
GBR,6789,Martin Forster (East Africa),Nick Keeling,,,351,83
DEN,6525,Jorgen Vestbo,Soren Borre,,,353,84
FIN,6803,Jarmo Tiilikka,Lasse Karhiln,,,362,85
