Nation,Ident,Concurrents,Ret P,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Brutto,Netto,Rgs
FRA,8948,Guillaume Pirouelle,Valentin Sipan,,1,1,2*,1,1,2*,1,9,5,1
FRA,9075,Alexandre Boite,Mathieu Corruble,,2*,2,3*,2,2,1,2,14,9,2
FRA,8800,Baptiste Lafortune,Adrien Lafortune,,3,3,5*,5*,3,4,4,27,17,3
FRA,9076,Quentin le Guellec,Paul Dadvisard,,9,18*,1,3,4,6,11*,52,23,4
FRA,9086,Jennifer Poret,Louise Chevet,,4,4,8*,4,6,5,9*,40,23,5
FRA,8870,Gael Tellier,Chloe Lafortune,,11*,6,6,8*,5,3,7,46,27,6
FRA,8847,Bastian le Morvan,Marie Nowak,,15*,8,4,12*,7,9,3,58,31,7
FRA,888,Louis Morin,Antoine Mabire,,7,5,14*,7,24 OCS*,7,5,69,31,8
FRA,8677,Nicolas Michel,Charles de Kergariou,,8,7,9,6,10*,10*,6,56,36,9
FRA,8729,Lorenzo Fioni,Marine Geniteau,,10,12*,13*,9,11,8,8,71,46,10
FRA,8326,David de Monteil,Henry Chevet,,5,9,21*,10,13,12,17*,87,49,11
FRA,8969,Thomas Pype,Romain Delmotte,,6,24 DNF*,7,14,24 OCS*,16,14,105,57,12
FRA,8904,Francois Lafortune,Antoine Delagrange,,14,16*,11,11,8,14,15*,89,58,13
FRA,8885,Morgane Suquart,Ciret-Lecosquer Madeg,,12,10,10,24 DNF*,14,13,16*,99,59,14
FRA,8676,Valentin Dechauffour,Marine Ruiz Garcia,,18*,14,18*,13,9,17,12,101,65,15
FRA,8366,Marion Michel,Yoann Lapijover,,17*,15,12,16,15,11,20*,106,69,16
FRA,9024,Louise Macron,Guillaume Auberger,,20*,11,16,15,17*,15,13,107,70,17
FRA,8509,Hadrien Peigne,Paul Huignard,,16,13,15,19*,12,22*,19,116,75,18
DEN,8491,Olivia Von Horsten,Anais Dechauffour,,24 DNF*,17,17,17,16,19*,10,120,77,19
FRA,8748,Henri Morteau,Sebastien Rauly,,21,19*,19*,18,19,18,18,132,92,20
FRA,8564,Marine Delagrange,Adrien Lesbordes,,22*,20,20,21,18,20,21*,142,99,21
FRA,869,Florian Bougeault,Pierre Guezennec,,19,21,24 DNF*,20,20,21,22*,147,101,22
FRA,8980,Yoann Trecul,Arnaud Legland,,13,24 DNF*,24 DNF,24 DNF,24 DNS,24 DNS,24 DNS,157,109,23
