Natonality,Sail#,Name,,,Riva,Koge,Kieler Woche,Nieuwpoort,Hayling Isl.,,done,,Riva Pts.,Koge Pts.,Kieler Woche Pts.,Nieuwpoort Pts.,Hayling Isl. Pts.,,Pts.,Place
DEN,8727,Jørgen Schönherr,,,3,4,3,DNS,DNS,,3,,48,47,48,0,0,,143,1
DEN,8620,Jan Saugmann,,,15,1,5,DNS,DNS,,3,,36,50,46,0,0,,132,2
DEN,8675,Rasmus Fredsted,,,11,10,21,DNS,DNS,,3,,40,41,30,0,0,,111,3
DEN,8082,Sören Andreasen,,,10,8,24,DNS,DNS,,3,,41,43,27,0,0,,111,4
GER,8623,Stefan Böhm,,,2,DNS,DNS,1,DNS,,2,,49,0,0,50,0,,99,5
SWE,8655,Krister Bergström,,,DNS,2,2,DNS,DNS,,2,,0,49,49,0,0,,98,6
GBR,8481,Simon Payne,,,1,DNS,DNS,DNS,4,,2,,50,0,0,0,47,,97,7
GER,8575,Tom Gosch,,,DNS,5,6,DNS,DNS,,2,,0,46,45,0,0,,91,8
GBR,8736,Ian Pinnell,,,13,DNS,DNS,DNS,1,,2,,38,0,0,0,50,,88,9
GER,8670,Martin Görge,,,DNS,6,10,DNS,DNS,,2,,0,45,41,0,0,,86,10
GER,8721,Wolfgang Hunger,,,DNS,16,1,DNS,DNS,,2,,0,35,50,0,0,,85,11
GER,8663,Stefan Köchlin,,,7,DNS,11,DNS,DNS,,2,,44,0,40,0,0,,84,12
GBR,8495,David Peacock,,,12,DNS,DNS,DNS,8,,2,,39,0,0,0,43,,82,13
GBR,8568,Charles Walters,,,8,DNS,DNS,DNS,14,,2,,43,0,0,0,37,,80,14
GER,8570,Hans-Heinrich Rix,,,9,DNS,20,DNS,DNS,,2,,42,0,31,0,0,,73,15
GBR,8429,Robert Napier,,,16,DNS,DNS,DNS,16,,2,,35,0,0,0,35,,70,16
GER,8671,Markus Mühlbauer,,,30,DNS,DNS,4,DNS,,2,,21,0,0,47,0,,68,17
GER,8642,Stefan Schollmayer,,,29,DNS,DNS,6,DNS,,2,,22,0,0,45,0,,67,18
DEN,8551,Jacob Ernst,,,24,12,DNS,DNS,DNS,,2,,27,39,0,0,0,,66,19
GBR,8378,Martin Hodgson,,,26,DNS,DNS,DNS,13,,2,,25,0,0,0,38,,63,20
GER,8607,Bernd Kowalzig,,,23,DNS,22,DNS,DNS,,2,,28,0,29,0,0,,57,21
GBR,8707,Steve Nicholson,,,38,DNS,DNS,DNS,7,,2,,13,0,0,0,44,,57,22
GER,8505,Adalbert Kluck,,,21,DNS,28,DNS,DNS,,2,,30,0,23,0,0,,53,23
GBR,8708,Martin Wedge,,,31,DNS,DNS,DNS,21,,2,,20,0,0,0,30,,50,24
GER,8560,Thore Michels,,,DNS,15,37,DNS,DNS,,2,,0,36,14,0,0,,50,25
GBR,8705,Terry Scutcher,,,DNS,DNS,DNS,2,DNS,,1,,0,0,0,49,0,,49,26
GBR,8552,Mark Upton-Brown,,,DNS,DNS,DNS,DNS,2,,1,,0,0,0,0,49,,49,27
GBR,8701,Paul Lovesy,,,27,DNS,DNS,DNS,26,,2,,24,0,0,0,25,,49,28
FRA,8702,Philippe Boite,,,DNS,DNS,DNS,DNS,3,,1,,0,0,0,0,48,,48,29
GER,8392,Martin Seikel,,,DNS,DNS,DNS,3,DNS,,1,,0,0,0,48,0,,48,30
DEN,8622,Tom Bøjland,,,DNS,3,DNS,DNS,DNS,,1,,0,48,0,0,0,,48,31
GER,8649,Ronald Roos,,,4,DNS,DNS,DNS,DNS,,1,,47,0,0,0,0,,47,32
GER,8663,Claas Lehmann,,,DNS,DNS,4,DNS,DNS,,1,,0,0,47,0,0,,47,33
BEL,8536,Bart Meynendonckx,,,DNS,DNS,DNS,5,DNS,,1,,0,0,0,46,0,,46,34
GBR,8676,Clive Robinson,,,DNS,DNS,DNS,DNS,5,,1,,0,0,0,0,46,,46,35
SUI,8016,Jean-Francois de Cerjat,,,5,DNS,DNS,DNS,DNS,,1,,46,0,0,0,0,,46,36
GBR,8432,Debbie Jarvis,,,DNS,DNS,DNS,DNS,6,,1,,0,0,0,0,45,,45,37
DEN,8656,Jan Møller,,,6,DNS,DNS,DNS,DNS,,1,,45,0,0,0,0,,45,38
GER,8335,Roger Rachuba,,,34,DNS,23,DNS,DNS,,2,,17,0,28,0,0,,45,39
AUS,8603,Ian Dunn,,,DNS,DNS,DNS,7,DNS,,1,,0,0,0,44,0,,44,40
SWE,8232,Ebbe Rosén,,,DNS,7,DNS,DNS,DNS,,1,,0,44,0,0,0,,44,41
GER,8633,Christian Kellner,,,DNS,DNS,7,DNS,DNS,,1,,0,0,44,0,0,,44,42
GER,8567,Jörg Detmold,,,DNS,DNS,DNS,8,DNS,,1,,0,0,0,43,0,,43,43
GER,8651,Joachim Oetken,,,DNS,DNS,8,DNS,DNS,,1,,0,0,43,0,0,,43,44
GER,8663,Peter Roocks,,,DNS,9,DNS,DNS,DNS,,1,,0,42,0,0,0,,42,45
GER,8571,Karl-Heinz Hilgers,,,DNS,DNS,DNS,9,DNS,,1,,0,0,0,42,0,,42,46
GBR,8342,Mike Holt,,,DNS,DNS,DNS,DNS,9,,1,,0,0,0,0,42,,42,47
GER,8659,Axel Oberemm,,,DNS,DNS,9,DNS,DNS,,1,,0,0,42,0,0,,42,48
GBR,8460,Martin Goult,,,DNS,DNS,DNS,DNS,10,,1,,0,0,0,0,41,,41,49
BEL,8463,Emiel Van Hemeldonck,,,DNS,DNS,DNS,10,DNS,,1,,0,0,0,41,0,,41,50
GER,8424,Peter Gerdts,,,DNS,DNS,DNS,11,DNS,,1,,0,0,0,40,0,,40,51
GBR,8419,Stuart Turnbull,,,DNS,DNS,DNS,DNS,11,,1,,0,0,0,0,40,,40,52
SWE,8619,Mikael Ahrbom,,,DNS,11,DNS,DNS,DNS,,1,,0,40,0,0,0,,40,53
GBR,8694,Andy Williams,,,DNS,DNS,DNS,DNS,12,,1,,0,0,0,0,39,,39,54
BEL,6853,Exem Harald Van,,,DNS,DNS,DNS,12,DNS,,1,,0,0,0,39,0,,39,55
GER,8563,Mathias Jetschke,,,DNS,DNS,12,DNS,DNS,,1,,0,0,39,0,0,,39,56
SWE,8719,Jakob Lindvall,,,DNS,13,DNS,DNS,DNS,,1,,0,38,0,0,0,,38,57
BEL,7015,Pierre van der Poel,,,DNS,DNS,DNS,13,DNS,,1,,0,0,0,38,0,,38,58
GER,8478,Volker Görge,,,DNS,DNS,13,DNS,DNS,,1,,0,0,38,0,0,,38,59
GBR,8640,Vernon Ralston,,,42,DNS,DNS,DNS,22,,2,,9,0,0,0,29,,38,60
SUI,8569,René Betschen,,,14,DNS,DNS,DNS,DNS,,1,,37,0,0,0,0,,37,61
BEL,8275,Pierre Ody,,,DNS,DNS,DNS,14,DNS,,1,,0,0,0,37,0,,37,62
GER,8730,Jörg Häger,,,DNS,DNS,14,DNS,DNS,,1,,0,0,37,0,0,,37,63
SWE,8585,Jan Eriksson,,,DNS,14,DNS,DNS,DNS,,1,,0,37,0,0,0,,37,64
GBR,8381,Jim Hunt,,,DNS,DNS,DNS,DNS,15,,1,,0,0,0,0,36,,36,65
BEL,8350,Philippe Wirtz,,,DNS,DNS,DNS,15,DNS,,1,,0,0,0,36,0,,36,66
GER,8580,Christian Schäfer,,,DNS,DNS,15,DNS,DNS,,1,,0,0,36,0,0,,36,67
BEL,8130,Michel Moens,,,DNS,DNS,DNS,16,DNS,,1,,0,0,0,35,0,,35,68
GER,8661,Diethardt Freye,,,DNS,DNS,16,DNS,DNS,,1,,0,0,35,0,0,,35,69
GER,8470,Nørbert Dasenbrook,,,40,DNS,27,DNS,DNS,,2,,11,0,24,0,0,,35,70
DEN,8476,Per Larsen,,,DNS,17,DNS,DNS,DNS,,1,,0,34,0,0,0,,34,71
GBR,8535,Dougal Cram,,,DNS,DNS,DNS,DNS,17,,1,,0,0,0,0,34,,34,72
GER,8608,Bernd Rasenack,,,DNS,DNS,17,DNS,DNS,,1,,0,0,34,0,0,,34,73
SUI,8440,Urs Scherrer,,,17,DNS,DNS,DNS,DNS,,1,,34,0,0,0,0,,34,74
GBR,8377,Hector Cisneros,,,DNS,DNS,DNS,DNS,18,,1,,0,0,0,0,33,,33,75
DEN,8389,? Danry,,,DNS,18,DNS,DNS,DNS,,1,,0,33,0,0,0,,33,76
GER,8517,Michael Rössler,,,DNS,DNS,18,DNS,DNS,,1,,0,0,33,0,0,,33,77
GER,8580,Frida Achterberg,,,18,DNS,DNS,DNS,DNS,,1,,33,0,0,0,0,,33,78
GBR,8679,David Smithwhite,,,33,DNS,DNS,DNS,36,,2,,18,0,0,0,15,,33,79
GBR,8467,Chris Romans,,,DNS,DNS,DNS,DNS,19,,1,,0,0,0,0,32,,32,80
GER,8376,Volker Niediek,,,DNS,DNS,19,DNS,DNS,,1,,0,0,32,0,0,,32,81
DEN,7934,Kristoffer Møllevang,,,DNS,19,DNS,DNS,DNS,,1,,0,32,0,0,0,,32,82
GER,8665,Jens-Peter Schlomka,,,19,DNS,DNS,DNS,DNS,,1,,32,0,0,0,0,,32,83
