Platz,Nat,Nunner,Punkte,Ha,nns,cha,f,t,Verein,1,2,3,4,5,6
1,GBR,8431,23.7,Ian Barker,TimHancock,N'S'C',1,2,9,1,3,DNF,,,
2,GBR,8481,31.7,Paul Brothertonl,Bill Hasterman,CDSC,7,3,5,38,2,1,,,,,
3,DEN,8433,33.7,Jörgen Schönherr,Michael Pousen,,,KiS,4,4,20,2,6,2,,,,
4,AUS,8405,51,Chris Nicholson,Darren Nicholson,TRHYC l0,1,ls,32,1,8,,,,
5,GBR,8458,54,Ian Pinnell, Mark Darling,North'SC,,,5,11,2,5,8,DNF,,,
6,GBR,8242,60.4,Hark Upton Brown,Nigel John Vooght,DWSC,3,6,19,2,s,54,
7,GBR,8140,78.7,Ian Walters,Andy Parkinson,DWSC,6,5,31,20,10,9,,
8,GBR,8432,88,Debbie Jarvis,Andy Harrop,G.W.S.C.,38,8 T2,19,127,,,,,
9,GBR,8484,100.7,Michael Holnps,Paul Young,G+I{YC,9,2,s,18,30,19,3,,,
10,GBR,8380,101,Mike Holt,Ian Godfrey,H.Y.C.,47,9,13,8,30,11,,,
11,SWE,8232,103.7,Ebbe Rosen,Olle Wenrup, MKS,8,23,11,35,266,,
12,GER,8334,105.7,Dirk Filimonow,Lars Stöckmann, SCSZ,18,20,6,16,16,29,,,,
13,SWE,8475,106,Krister Bergstrm,8engt Sareyko,GKS,S,34,24,4,11,11,28,,,
14,SWE,7343,107,Kalle Nisson,Martin Westerdahl,GKS,S,15,27,1,33,17,24
15,GBR,8269,111,Paul Towers,Alistair Danis,DI{SC,DSQ,L2,10,40,712,,,,,
16,GER,8450,114,Gunter Peters,Holger Jess,ENSFV,12,13,42,L7,25,17,,,
17,GER,8390,114.7,Andreas Bock,Rolf Meyer,HSC,27,14,3,48,935,,,,
18,GER,8279,121,Hartin Görge,Reiner Görge,DYC,DSQ,T7,8,9,15,42,,,
19,DEN,8364,122,Tom Böjland,Philip Christiani,FAS,KDY,24,2,T217,33,19,,
20,USA,8266,123,8ruce Edwards,David Shelton,ST. FYC,26,16,22,ls,14,27,,
21,AUS,8348,129,Peter Drinkwater,David O'Dowd,Rt'lYC,20,22,33,44,422,,
22,GBR,8449,130,David Smithwhite,Colin Merrett,FPSC,25,10,28,37,22,15,,,
23,GBR,8416,147,Ian Montague,Alast Macleod,11,18,23,5,s,32,33,,,,
24,GER,8330,147,Tim Böger,Steffen Achenbach,HSC,2,I,39,26,18,44,13,,
25,DEN,8393,150,Jan Höller,Klaus Pedersen,KDY,36,33,44,12,23,16,,,
26,GER,8386,152,Jens Ellermann,Thomas Tschentscher,l{YC,32,19,29,14,29,31,,,,
27,GER,8333,168,Andi Thomsen,Paule Schultz,RVE,13,41,30,23,3,s,37,,,
28,AUS,8340,172,Malcom Page,David Page,HHYC,DSQ,7,45,73,135,,,,
29,SUI,8440,180,Urs Scherrer,Beat Waser,Y-C. Zug,35,28,37,s3,36,14,,,,
30,GER,8477,181,Stefan Böhm,Frank Böhm,SCV,44,45,25,4,s,27,10,,
31,GBR,8423,182,John Loved A,John Ward,22,36,24,s6,47,23,,,,
32,GER,8226,192,Martin Bernauer,Claus Bornhorst,CKA,29,46,56,29,38,20,,,
33,GER,8108,195.7,Jens Meinert,Jens Wilke,8CN,56,547,3,49,DNS,,,
34,GER,8470,196,Jens P. Schlomka,Norman Schlomka,TSVS,28,15,61,75,18,44,,,
35,SUI,8016,198,Caroline Stolz.Christine Wiskemann,CNB,40,37,50,24,37,30,,,,
36,SUI,8459,199,Rene Betschen,Phiippe Jacot,CNB,55,49,51,4,41,26,,
37,GER,8343,204,Sven Bräcker,Gerad Roos,SVI{u,31,56,16,36,43,48,,
38,GER,8427,206,Scheda Beschien,Eckard Klein,NRV,23,55,41,70,39,18,,,
39,GBR,8377,207,Hector Cisneros,Neil Fulcher,SISC,2,31,34,34,DNS,DNS,
40,SWE,8228,219,Gunilla Berg,Erik Kallin, Huvu,KK,16,63,DNF,22,63,?s,,,
41,GER,8465,219,Hartw. Friederichs lDirk Rother,l{SCl{,42,30,40,51,31,46,,,,
42,GER,8412,223,Volker Görge,Ulrich Heyer,TSVS,41,40,54,43,24,4,s,,
43,SUI,8459,224,Cedric Bart,Jean Ph. Senn,CNB,61,3,s,36,49,40,34,,
44,GBR,8306,227,Clive Robinson,John Ironmonger Burton,SC,30,DNF,32,l0,34,DNS,,,
45,GER,8282,231,Stefan Scho,lmayer,Hart i n Ecke,SCH,YCSB,52,61,14,2,r,55,59
46,GER,8317,232,Adalbert Kluck,Gerhard Schmidt,TSVS,62,38,68,4,l,20,4,t,
47,SUI,8113,234,Christoph Renker,Wernl i Best,RCO,43,42,35,64,46,38,,,
48,GER,8430,235,Sab i ne Heyer,K,. Stannrer johann,NRV,33,26,dsq,57,50,39,,
49,GER,8473,242,D i ethard Freye,Cord H . Lefha lm,SVSS,57,34,n13,DNF,DNS,,,,
50,DEN,8476,242,AndersFriisI BjörnChristiansen,S'E'S',69,32,47,s0,51,32,,,,
51,SWE,7956,243,Mikael Ahrbom,Claes Thurel,KSS,S,48,50,49,26,56,40,,
52,FRA,8063,243,HarcetBuffetl RemiPerrin,C'V'P',39,51,46,27,s3,s0,,,,
53,GER,8389,244,8erndKowalzigl UlrichEllerbeck,SCB,19,6,s,64,67,45,2,r,,
54,RSA,8438,248,NigelHillnlMalcoml'löller,HMYC,14,29,69,s4,DNS,52,,,,
55,FRA,8363,249,Fr. Doerenbecher,Ivan Doerenbecher,CYM,65,43,65,47,28,36,,,
56,GBR,8409,252,Gordon Mc George,Robert Taylor,LESC,51,73,27,28,59,57,,,
57,FRA,8352,259,A'lainPreel,FabriceToupet,SRCO,63,s9,73,39,21,47,,,
