Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Points Netto,Place
POL,8736,Jan Sibilski,Andrzej Borowiak,Żlks Kiekrz W Poznaniu,1,[5],4,1,1,1,1,3,1,13,1
POL,9110,Michał Ruciński,Bartosz Sadowski,Polski Związek Klasy Omega/Uniwersytet M,[5],2,3,4,3,2,2,5,2,23,2
POL,9068,Paweł Kluczyński,Teofil Nowak,Oś Azs W Poznaniu,4,3,1,5,5,3,[6],2,3,26,3
POL,9140,Dominik Ostrowski,Maciej Goździk,,3,1,5,[7],4,4,4,6,5,32,4
POL,9135,Dariusz Konopczak,Paweł Henszke,Yacht Klub Polski Szczecin,2,4,2,6,10,5,5,1,[15 DNC],35,5
CAN,7606,Robert Bartlewski,Marek Gałkiewicz,Jacht Klub Marynarki Wojennej Kotwica,6,6,[7],2,2,6,7,7,4,40,6
POL,8875,Piotr Duma,Mariusz Michalski,Klub Żeglarski Neptun/Yacht Klub Stal Gd,7,7,6,3,[8],8,3,4,6,44,7
POL,8909,Michał Kępski,Maksymilian Zaniewski,Regatowy Klub Sportowy Lasery-Zegrze,8,[15 DNC],15 DNC,8,6,7,8,8,7,67,8
POL,8770,Jakub Gąsiorowski,Jarosław Mikienko,Yacht Klub Stal Gdynia,9,8,9,13,11,11,12,11,[15 DNC],84,9
POL,9020,Justyna Bunar,Michał Prończuk,,10,[15 DNF],15 DNC,11,9,9,10,12,9,85,10
POL,8656,Dawid Garguliński,Anna Zabłocka,Klub Żeglarski Kotwica/Centrum Żeglarski,[15 DNC],15 DNC,15 DNC,10,7,10,11,10,8,86,11
POL,8906,Jacek Ludwiczak,Grzegorz Szreder,,[15 DNC],15 DNF,8,9,12,15 DNF,9,9,15 DNC,92,12
POL,8751,Oliwier Piliński,Stanisław Brozio,,[15 DNF],15 DNF,15 DNC,12,13,12,13,15 NSC,15 DNC,110,13
POL,9170,Marcin Panek,Jakub Grabowski,,[15 DNC],15 DNC,15 DNC,15 DNC,15 DNC,15 DNC,15 DNC,15 DNC,15 DNC,120,14
