Nat,SailN,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,Totale,Netto,Rank
GER,9121,Jan-Philipp Hofmann,Felix Brockerhoff,Duesseldorfer Yachtclub e.V.,4,1,1,7,2,1,[14],7,37,23,1
USA,9072,Mike Holt,Carl Smit,Santa Cruz Yacht Club,9,[14],2,4,1,8,1,1,40,26,2
GBR,9246,Michael Sims,Carl Gibbon,Burton SC,8,3,3,2,4,[13],2,9,44,31,3
USA,9153,Howard Hamlin,Caleb Paine,ABYC / NHYC,1,4,8,1,5,5,[11],10,45,34,4
GBR,9093,Ewen Barry,Harry Briddon,Ogston Sailing club,5,9,[16],14,7,3,3,2,59,43,5
FRA,9220,Philippe Boite,Carnot Marin,CVSQ,3,7,[23],12,3,9,6,3,66,43,6
GER,9257,Wolfgang Hunger,Holger Jess,KYC,2,2,14,6,[39 DNC],2,7,16,88,49,7
CAN,9207,Robert Tennant,Steve Bourdow,RVicYC,10,13,4,[16],14,4,4,6,71,55,8
GER,9185,Stefan Böhm,Gerald Roos,SCW,[17],11,12,5,6,12,5,5,73,56,9
GER,9182,Alexander Holzapfel,Finn Boeger,Post- Sportverein Koblenz,7,5,10,9,11,10,8,[12],72,60,10
AUS,9210,Michael Quirk,Charles Dwyer,CNCB,6,12,9,18,[19],11,15,8,98,79,11
GER,9070,Stefan Koechlin,Andreas Achterberg,Segelverein Schluchsee,23,10,7,15,17,[39 UFD],9,4,124,85,12
GBR,9238,Ian Pinnell,Alex Davies,NSC,15,15,19,10,[23],7,12,15,116,93,13
GER,9231,Stefan Giesler,Gerard Böhm,VSaW,20,17,5,17,9,14,13,[21],116,95,14
GER,9199,Michael Daisenberger,Jonas Nissen,DTYC,12,8,13,24,15,[26],18,13,129,103,15
GER,9198,Lena Stückl,Johannes Tellen,DTYC,13,19,24,19,13,6,10,[27],131,104,16
GER,9169,Tim Boger,Markus Schoner,HSC,14,20,20,[22],8,16,16,14,130,108,17
GER,9133,Frieder Achterberg,Wolfgang Stueckl,Deutscher Touring Yacht Club e.V.,11,21,6,25,16,22,[34],19,154,120,18
AUS,9254,Mark Stowell,Paul Von Grey,Fremantle Sailing Club,16,22,25,[31],10,19,19,11,153,122,19
POL,9170,Karol Milewski,Bartosz Milewski,YK STAL Gdynia,21,16,[31],3,27,20,27,23,168,137,20
GER,919*,Nils-Henning Hofmann,Alexander Swade,DÃ¼sseldorfer Yachtclub,19,[34],11,11,21,25,17,33,171,137,21
GBR,8963,Martin Hodgson,Adrian Miles,Stone Sailing Club,18,[26],22,23,24,18,20,18,169,143,22
USA,9247,Mike Punnett,Rich Mundell,SISA,25,18,28,20,[33],17,21,17,179,146,23
GER,9234,Nørbert Dasenbrook,Sven Meier,ksw,22,29,26,13,18,21,[39 RET],20,188,149,24
GER,9090,Martin Schöler,Martin Schöler,DSC,[39 DNC],6,21,8,22,15,39 UFD,39 DNC,189,150,25
AUS,9204,Matthew Hansen,Shane Attwell,fremantle sailing club,24,25,32,[33],12,30,22,22,200,167,26
POL,9135,Dariusz Konopczak,Paweł Henszke,CZ Szczecin,27,30,17,26,[39 DNC],27,24,28,218,179,27
GER,9197,Nicola Birkner,Angela Stenger,VSaW,[33],24,27,21,31,23,23,32,214,181,28
SUI,9060,Catherine Houriet,Giles Donzé,CRG,32,23,15,29,29,24,33,[39 DNC],224,185,29
POL,8802,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa,26,36,[39 DNC],27,20,28,26,24,226,187,30
AUS,9225,Earle Alexander,John McLean,Darling Point SS,29,28,18,[39 DNC],25,33,30,30,232,193,31
AUS,9071,Richard Hyde,Lindsay Gilbert,DPSS,[35],31,30,34,26,31,28,26,241,206,32
POL,9020,Tomek Brzozowski,Paweł Choroba,KŻ Horn,34,35,[39 DNC],28,30,29,32,25,252,213,33
GER,9054,Wilhelm Wollenbecker,Hermann Wollenbecker,Yachtclub Bitterfeld,30,27,29,32,28,32,[39 DNC],39 DNC,256,217,34
GBR,9261,Martin Wedge,Graham Elliot,Carmuax,28,32,[39 DNC],30,39 DNC,39 DNC,29,29,265,226,35
USA,9871*,Aaron Ross,Rob Waterman,Santa Cruz Yacht Club,31,33,[39 DNC],39 DNC,39 DNC,39 DNC,25,31,276,237,36
GER,8672,Dirk Hütten,Guido Von Walter,SGR Riegsee,[39 DNC],37,33,39 DNC,32,34,39 DNC,34,287,248,37
GBR,8867,Patrick McGale,Christopher Pearson,Queen Mary Sailing Club,[39 DNC,39 DNC,39 DNC,39 DNC,39 DNC,39 DNC,31,39 DNC,304,265,38
