Nation,Boat NO,Helm,Crew,Club,Race 1,Points,Place
GER,9011,Daisenberger Michael,Henning Bastian ,9011,,,1
ITA,8916,Ciferri Enrico,Natali Gabriele ,8916,,,2
SUI,8077,Houriet Catherine,Donze Gil ,PATIENCE ,,,3
ITA,8743,Giraldi Marco,Corbellini Paolo ,8743,,,4
GER,6425,Catho Guillaume,,6425,,,5
