Country,Sail no.,Helm,Crew,Club,,Points,Place
FRA,4060,Timal,Timal,YCA,,191,1
FRA,3850,Quehen,Quehen,YCB,,184,2
FRA,4427,Beugnet,Vincent,CNW,,181,3
FRA,4242,Falempin,Daudier,YCB,,175,4
FRA,4356,Lefevre,Lefevre,CNT,,172,5
FRA,4036,Taillandier,Blandet,YCP,,169,6
FRA,3189,Jacques Raguet,Ulrike Raguet,YCA,,156,7
FRA,4018,Creton,Legrand,YCQ,,151,8
FRA,3851,Delpierre,Delpierre,YCB,,146,9
FRA,4263,Godefroy,Godefroy,YCA,,139,10
,,,,,,,11
,,,,,,,12
,,,,,,,13
,,,,,,,14
,,,,,,,15
,,,,,,,16
,,,,,,,17
,,,,,,,18
,,,,,,,19
