Country,Sail Number,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Position
FRA,4060,Timal,Timal,,1,1,1,1,,0,1
FRA,4427,Beugnet,Ducloy,,,,,,,17.4,2
FRA,4036,Taillandier,Blondel,,,,,,,17.4,3
FRA,2992,Buquet,Chaffaux,,,,,,,37.7,4
FRA,3423,Roland Banel,Latrace,,,,,,,39.7,5
FRA,3153,Jacques Armengaud,Hoffmann,,,,,,,52.7,6
FRA,3003,Galet,Galet,,,,,,,50.7,7
FRA,4356,Lefebvre,Lefebvre,,,,,,,57.5,8
FRA,3331,Carvallo,Thieblemont,,,,,,,57.5,9
FRA,4263,Godefroy,Godefory,,,,,,,58,10
FRA,3716,Fayein,Fayein,,,,,,,71,11
FRA,4242,Falempin,Falempin,,DNS,DNS,DNS,DNS,DNS,76,12
FRA,3851,J.B. Delpierre,Delpierre,,DNS,DNS,DNS,DNS,DNS,76,12
