Country,Sail Number,Helmsman,Crew,Club,,Points,Position
FRA,4238,Nicholas Loday,Nicolas Fédorenko,CNBP,,0,1
FRA,4420,Lange,Michel Guezou,CVT,,29,2
FRA,,Marc Bouet,Bruce Hobday,SNO,,"35,7",3
FRA,4139,Marcel Buffet,Thierry Moreau-Defarges,CVP,,"36,4",4
FRA,4479,Legloahec,Baron,CVP,,"39,7",5
FRA,4440,Léopold Leger,Robert Leibovitch,CNB,,"45,7",6
FRA,3694,Pierre Bretèche,Legouden,SNO,,"53,7",7
FRA,4596,Duchemin,Philippe Sérane,YCC,,"54,7",8
FRA,,Lévesque,Lemeillet,SNO,,57,9
FRA,3806,Damon,Michel Bohu,SNO,,"57,7",10
