Nation,Boat no,Helm,Crew,Club,Race 1,Points,Place
FRA,3596,Jean-Marie Danielou,Patrick Haegeli,CVP,,8,1
FRA,4224,P. Gadel,G. Gadel,CNVC,,16,2
FRA,4440,Léopold Leger,Robert Leibovitch,CNB,,23,3
FRA,3650,Bernard Paternault,Denis Guiomard,CYVD,,"23,1",4
FRA,4119,Malbo,Malbo,CVC,,"27,7",5
FRA,3345,Lallemand,Lallemand,YC1F,,46,6
FRA,3003,Armangaud,Koffmann,CVP,,47,7
FRA,4308,Guyot,Landry,CVESQ,,"48,7",8
FRA,2810,Vausanson,Plisson,CVC,,50,9
FRA,4279,Doloy,Lazennec,CVP,,55,10
,,,,,,,11
,,,,,,,12
,,,,,,,13
,,,,,,,14
,,,,,,,15
,,,,,,,16
,,,,,,,17
,,,,,,,18
,,,,,,,19
,,,,,,,20
,,,,,,,21
,,,,,,,22
,,,,,,,23
,,,,,,,24
,,,,,,,25
,,,,,,,26
,,,,,,,27
,,,,,,,28
,,,,,,,29
,,,,,,,30
,,,,,,,31
,,,,,,,32
,,,,,,,33
,,,,,,,34
,,,,,,,35
,,,,,,,36
,,,,,,,37
,,,,,,,38
