Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
FRA,4139,Marcel Buffet,Stéphane Fleury,CVP,,,,,,3,1
FRA,3841,Riche,Riche,SRD,,,,,,36,2
FRA,3003,Jacques Armengaud,Philippe Hoffmann,CNH,,,,,,39.7,3
FRA,3850,Quehen,Quehen,YCB,,,,,,48.4,4
FRA,3716,Fayen,Chaillon,CVP,,,,,,57,5
FRA,2845,Herfort,Mandoff,CVESQ,,,,,,59.7,6
FRA,4199,Collaert,Chevallier,CVP,,,,,,61,7
FRA,3637,Preel,Thierry Moreau-Defarges,CNB,,,,,,63.7,8
FRA,4224,P. Gadel,G. Gadel,CNVC,,,,,,64.7,9
FRA,3650,Paternault,Guiomard,CYVD,,,,,,66.4,10
,,,,,,,,,,,11
,,,,,,,,,,,12
,,,,,,,,,,,13
,,,,,,,,,,,14
,,,,,,,,,,,15
,,,,,,,,,,,16
,,,,,,,,,,,17
,,,,,,,,,,,18
,,,,,,,,,,,19
,,,,,,,,,,,20
,,,,,,,,,,,21
,,,,,,,,,,,22
,,,,,,,,,,,23
,,,,,,,,,,,24
,,,,,,,,,,,25
,,,,,,,,,,,26
,,,,,,,,,,,27
,,,,,,,,,,,28
,,,,,,,,,,,29
,,,,,,,,,,,30
,,,,,,,,,,,31
,,,,,,,,,,,32
,,,,,,,,,,,33
,,,,,,,,,,,34
,,,,,,,,,,,35
,,,,,,,,,,,36
,,,,,,,,,,,37
,,,,,,,,,,,38
,,,,,,,,,,,39
,,,,,,,,,,,40
,,,,,,,,,,,41
,,,,,,,,,,,42
,,,,,,,,,,,43
,,,,,,,,,,,44
,,,,,,,,,,,45
,,,,,,,,,,,46
,,,,,,,,,,,47
,,,,,,,,,,,48
,,,,,,,,,,,49
,,,,,,,,,,,50
