Country,,Helmsman,Crew,,,,,Position
SUI,,Fehlmann,Fehlmann,,,,,1
FRA,,Bernard Moret,René Morch,,,,,2
FRA,,Duchemin,Marchal,,,,,3
FRA,,Degaudenzi,Perret,,,,,
FRA,,Marcel Buffet,Thierry Moreau-Defarges,,,,,
FRA,,Leger,Leibovitch,,,,,
FRA,,Massu,Harphern,,,,,
