Country,Sail no.,Helm,Crew,Club,,Points,Place
FRA,2114,Timal,,,,3,1
FRA,4221,Godefroy,,,,6,2
FRA,1332,Jacques Lefèvre,,,,"8,7",3
FRA,3445,Beugnet,,,,"23,7",4
FRA,,Raguet,,,,"25,7",5
FRA,,Cuvelier,,,,"35,1",6
FRA,,Sallier,,,,39,7
