Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
FRA,3949,Nicolas,Courty,C V.Touraine,,,,,,,30,1
FRA,3392,Le Glohaec,Baron,C.V.P.Dives,,,,,,,41.7,2
FRA,3650,Paternault,Guiomard,C.Y.V.D.,,,,,,,42.7,3
FRA,3669,Savelli Freres,,ANCRE,,,,,,,43.7,4
FRA,4010,Fixot,Thierry Moreau-Defarges,,C.V.Meaux,,,,,,,54.4,5
,,,,,,,,,,,,6
,,,,,,,,,,,,7
,,,,,,,,,,,,8
,,,,,,,,,,,,9
,,,,,,,,,,,,10
,,,,,,,,,,,,11
,,,,,,,,,,,,12
,,,,,,,,,,,,13
,,,,,,,,,,,,14
,,,,,,,,,,,,15
,,,,,,,,,,,,16
,,,,,,,,,,,,17
,,,,,,,,,,,,18
,,,,,,,,,,,,19
,,,,,,,,,,,,20
,,,,,,,,,,,,21
,,,,,,,,,,,,22
,,,,,,,,,,,,23
,,,,,,,,,,,,24
,,,,,,,,,,,,25
,,,,,,,,,,,,26
,,,,,,,,,,,,27
,,,,,,,,,,,,28
,,,,,,,,,,,,29
,,,,,,,,,,,,30
,,,,,,,,,,,,31
,,,,,,,,,,,,32
,,,,,,,,,,,,33
,,,,,,,,,,,,34
,,,,,,,,,,,,35
,,,,,,,,,,,,36
,,,,,,,,,,,,37
