Nation,Boat NO,Helm,Crew,Club,Race 1,Points,Place
FRA,4142,Lapalu,Grivelet,,,13.7,1
FRA,3732,Reynier,Moreau Defarges,,,14.7,2
FRA,3439,Juaneda,Dineur,,,20.1,3
FRA,,Laplassotte,Prenat,,,25.7,4
FRA,4122,Guillaume,Richard,,,26.7,5
FRA,4188,Lacaza,Menanteau,,,38,6
FRA,4323,Bernard Moret,Rene Morch,,,40,7
FRA,3072,Tixador,Colin,,,52,8
FRA,3400,Claudel,Claudel,,,56.7,9
FRA,4175,Chovelon,Chovelon,,,59,10
,,,,,,,11
,,,,,,,12
,,,,,,,13
,,,,,,,14
,,,,,,,15
,,,,,,,16
,,,,,,,17
,,,,,,,18
,,,,,,,19
,,,,,,,20
