Country,Sail NO,Helm,Crew,Club,,Series,,Position
FRA,,Nicholas Loday,Nicolas Fédorenko,CN La Baule,,1re,,1
FRA,,Marc Bouet,Lévesque,SN Ouest-Nantes,,1re,,2
FRA,4139,Marcel Buffet,Stéphane Fleury,CVP Paris,,1re,,3
FRA,7390,Bruno Lévesque,Jean-Luc Bapst,SN Ouest-Nantes,,1re,,4
FRA,,Jean-Pierre Bouvet,Chaigne,CN La Baule,,1re,,5
FRA,,Francis Marque,Martin,CV Bordeaux,,1re,,6
FRA,,Blanchard,Blanchard,ACAL Strasbourg,,1re,,7
FRA,4325,Bernard Moret,René Morch,CV Lyon,,1re,,8
FRA,,Nesselar,Nesselar,CV Epinal,,1re,,9
FRA,,Simon,Simon,CYV Moselle,,1re,,10
FRA,,Nicolas,Courty,CV Tours,,1re,,11
FRA,,Bernard Reynier,Thierry Moreau-Defarges,CNE Toulon,,1re,,12
FRA,,Juaneda,Dineur,YCPR Marseille,,1re,,13
FRA,,Quehen,Quehen,YC Boulogne sMer,,1re,,14
FRA,4224,P. Gadel,G. Gadel,CN Viry-Chatillon,,1re,,15
FRA,,Guillaume,Prenat,CV Grenoble,,1re,,16
FRA,,Jouany,Courgeon,CN Mazieres,,1re,,17
FRA,,Laplassotte,Prenat,Grenoble U,,1re,,18
FRA,,Leger,Leger,CN Bourgogne,,1re,,19
FRA,,Martin,Dominguez,SV Noroit,,1re,,20
FRA,,Timal,Timal,YC Aubigny,,1re,,21
FRA,,Beugnet,Vincent,CN Wimereux,,1re,,22
FRA,,Dejean,Dominguez,CV Bordeaux,,1re,,23
FRA,,Doerenbecher,Doerenbecher,CYV 3 Frontieres,,2me,,24
FRA,,Taillandier,Blondet,YC Le Pecq,,2me,,25
FRA,,Souvestre,Souvestre,CV Meaux,,2me,,26
FRA,,Bugeaud,Caillet,YC Chalon,,2me,,27
FRA,,Wastiaux,Bauler,CN Metz,,2me,,28
FRA,,François-Bernard Savelli,Savelli,ANCRE,,2me,,29
FRA,,Paternault,Guyomard,CV Dammarie,,2me,,30
FRA,,Claude Fixot,Roynette,CV Meaux,,2me,,31
