Country,Sail no.,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Place
FRA,4060,Timal,Timal,YCA,1,1,,0,1
FRA,4356,Jacques Lefèvre,Michel Lefèvre,CNT,,,,"14,4",2
FRA,4427,Beugnet,Vincent,CNW,,,,"16,7",3
FRA,4242,Claude Falempin,Daudier,YCB,,,,30,4
FRA,3850,Quehen,Quehen,YCB,,,,31,5
FRA,4036,Taillandier,Blondet,YCP,,,,"33,4",6
FRA,4028,Creton,Legrand,YCQ,,,,39,7
FRA,3189,Jacques Raguet,Ulrike Raguet,YCA,,,,"44,7",8
FRA,3851,Delpierre,Delpierre,YCB,,,,45,9
FRA,3839,Bracq,Bracq,CNT,,,,47,10
FRA,2097,Cuvelier,Demade,YCA,,,,48,11
FRA,2620,Bracq,Bracq,CNT,,,,50,12
FRA,4263,Godefroy,Godefroy,YCA,,,,55,13
