Country,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Total,Netto,Place
FRA,4060,Timal,Timal,YCA,1,1,1,,0,1
FRA,4356,Lefevre,Lefevre,CNT,3,3,2,,"14,4",2
FRA,4427,Beugnet,Vincent,CNW,4,2,3,,"16,7",3
FRA,4242,Falempin,Daudier,YCB,6,4,,,30,4
FRA,3850,Quehen,Quehen,YCB,2,,,,31,5
FRA,4036,Taillandier,Blondet,YCP,,5,,,"33,4",6
FRA,4028,Creton,Legrand,YCQ,5,DNF,4,,39,7
FRA,3189,Raguet,Raguet,YCA,DNF,,,,"44,7",8
FRA,3851,Delpierre,Delpierre,YCB,,DNF,,,45,9
FRA,3839,Bracq,Bracq,CNT,,,,,47,10
FRA,2097,Cuvelier,Demade,YCA,,,,,48,11
FRA,2620,Bracq,Bracq,CNT,,,,,50,12
FRA,4263,Godefroy,Godefroy,YCA,,DNF,,,55,13
