Country,Sail no.,Helm,Crew,Club,Club,Race 1,Race 2,Race 3,Points,Place
FRA,4431,Christian Hauvette,Nicolas Vasseur,CVP,,1,1,,10,1
FRA,4279,Doloy,Lazennec,CVP,,,,,22,2
FRA,3596,Jean-Marie Danielou,Christ,CVP,,,,,"22,7",3
FRA,4224,Gadel,Gadel,CNVC,,,,,27,4
FRA,4440,Léger,Robert Leibovitch,CVB,,,,,"38,7",5
FRA,4139,Marcel Buffet,Thierry Moreau-Defarges,CVP,,,,,"42,7",6
FRA,3392,Leglohaec,Baron,CVP,,,,,48,7
FRA,3003,Lallemand,Lallemand,YCIF,,,,,47,8
FRA,4513,Fixot,Léger,CVM,,,,,"49,7",9
FRA,3708,Duhau,Chaillon,CNCRO,,,,,"55,7",10
,,,,,,,,,,11
,,,,,,,,,,12
,,,,,,,,,,13
,,,,,,,,,,14
,,,,,,,,,,15
,,,,,,,,,,16
,,,,,,,,,,17
,,,,,,,,,,18
,,,,,,,,,,19
,,,,,,,,,,20
,,,,,,,,,,21
,,,,,,,,,,22
,,,,,,,,,,23
,,,,,,,,,,24
,,,,,,,,,,25
,,,,,,,,,,26
,,,,,,,,,,27
,,,,,,,,,,28
,,,,,,,,,,29
,,,,,,,,,,30
