Nation,Boa,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
SWE,4316,Siostrom,Andersson,H.B. Goteborg,,,,,,21,1
FRA,4325,Bernard Moret,Rene Morch,C . V. Lyon,,,,,,31,2
FRA,3439,Juaneda,Dineur,Y.C.Pointe Rouge,,,,,,33,3
SUI,4281,Fehlmann,Fehlmann,C.N.Morges,,,,,,35.7,4
SUI,3988,Degaudenzi,Poncet,Y.L.SN Geneve,,,,,,36.7,5
,,,,,,,,,,,6
,,,,,,,,,,,7
,,,,,,,,,,,8
,,,,,,,,,,,9
,,,,,,,,,,,10
,,,,,,,,,,,11
,,,,,,,,,,,12
,,,,,,,,,,,13
,,,,,,,,,,,14
,,,,,,,,,,,15
,,,,,,,,,,,16
,,,,,,,,,,,17
,,,,,,,,,,,18
,,,,,,,,,,,19
,,,,,,,,,,,20
,,,,,,,,,,,21
,,,,,,,,,,,22
,,,,,,,,,,,23
,,,,,,,,,,,24
,,,,,,,,,,,25
,,,,,,,,,,,26
,,,,,,,,,,,27
,,,,,,,,,,,28
,,,,,,,,,,,29
,,,,,,,,,,,30
,,,,,,,,,,,31
,,,,,,,,,,,32
,,,,,,,,,,,33
,,,,,,,,,,,34
,,,,,,,,,,,35
,,,,,,,,,,,36
,,,,,,,,,,,37
