Country,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Place
FRA,,Raguet,Mme,YCA,2,1,1,3,1
FRA,,Beugnet,Vincent,YCMN,1,3,3,"11,4",2
FRA,,Godefroy,Mlle,YCA,4,4,2,19,3
FRA,,Creton,Noël,Quend,7,2,2,29,4
FRA,,Delpierre,Delpierre,YCB,3,6,6,"29,1",5
FRA,,Jacques Lefèvre,Michel Lefèvre,CNT,5,5,8,34,6
FRA,,Quehen,Quehen,YCB,8,7,4,35,7
FRA,,Ronsseray,?,YCB,6,8,5,"35,7",8
